2D-peak FWHM	G-peak FWHM
18.3599313	8.576059561	
18.41900572	10.79517194	
22.32423467	5.661439428	
20.02496049	12.65189337	
24.03931923	10.87505669	
19.26170057	6.218288267	
18.40867992	13.38799824	
17.27146919	8.452851349	
16.79560018	6.596525881	
18.86824333	10.55316516	
21.83053206	13.96676506	
21.76774604	13.60997325	
28.45824107	14.98099281	
29.49262441	14.52423304	
31.24471085	15.94038392	
16.73968487	38.6231341	
17.98206266	8.74361741	
17.16054588	7.462135097	
18.03104376	14.51897504	
16.32883709	3.222296721	
20.93320124	14.53225624	
22.34431584	13.53148302	
18.78054139	6.619892389	
18.44308861	15.32442755	
20.50544185	13.19671878	
28.10850994	11.99803223	
20.37459605	15.09338723	
20.92107087	15.26755011	
24.73504814	14.41440715	
26.01173315	15.88267997	
36.1782857	16.21288072	
16.13432805	8.906648541	
19.39832696	12.93213797	
16.39546546	7.864650706	
14.93016238	13.64130686	
18.39996419	48.38922558	
16.00083484	14.69447335	
16.58975681	21.38082889	
17.16944724	4.809408207	
17.94673308	13.88949494	
21.21286133	14.53966374	
21.58587447	11.57077931	
21.82224165	17.00607533	
19.13274886	12.02584547	
19.50991248	11.31018121	
22.37736707	13.19556435	
26.08336035	16.63955523	
20.54000244	15.09461335	
19.9672636	15.726301	
21.4153665	16.99832394	
21.59075474	16.80250203	
37.61357654	17.48830714	
21.36450275	27.6226009	
16.48500392	32.80224518	
16.20131955	6.386764065	
18.29733546	7.819593237	
16.90076628	7.282521149	
20.29960694	11.08986007	
20.17308319	13.25573394	
16.9101268	11.92996652	
18.89788748	8.489567874	
22.13623986	6.761352667	
22.4827925	9.575583214	
19.88313418	8.082900573	
23.7754665	4.725409405	
19.44795857	15.14817859	
24.56157484	16.87459611	
19.31234615	15.44223586	
20.33475999	14.24018641	
24.00850818	17.29492027	
32.64989034	18.94490133	
18.03944185	8.47893065	
16.67408082	10.84681829	
17.07866253	7.261975531	
14.3234145	8.043463365	
15.07646823	9.793009213	
21.47273106	13.11171693	
16.66749627	9.863877814	
17.01760562	7.45134465	
23.94153573	15.56118571	
23.44340379	16.61561585	
20.80398254	20.68351562	
24.45218785	18.56522783	
24.61313498	19.49284321	
28.99363007	3.188708986	
33.03765285	15.76317774	
19.18804889	8.041900077	
16.27312897	10.72955583	
15.8890119	5.741861961	
16.98835676	11.23083942	
14.62938626	3.915526229	
17.5640671	28.23458566	
19.71974529	8.052047587	
15.65525063	60.55546694	
17.89650526	6.745530299	
22.29953978	15.38776857	
23.35220409	46.07602863	
23.63089442	17.04433115	
22.74082105	16.35629239	
22.50891827	18.97401072	
25.12572671	17.9881225	
23.74752434	16.18247183	
17.12111337	22.11210906	
18.60058274	5.016420109	
14.37883069	6.906545284	
15.10290175	6.32793026	
17.02566654	7.196301746	
15.92348278	5.281511164	
15.41512097	9.322466322	
19.04420378	7.817569233	
14.81330261	8.79256487	
16.46021994	11.43758308	
18.11156492	6.97668647	
18.55830731	10.46763801	
19.81138755	12.69898195	
24.62662154	15.55927147	
24.63142059	10.66132458	
25.17133803	18.10927772	
14.20665831	11.63685032	
22.61961523	19.74765982	
20.22688327	6.839355029	
19.48650997	18.52610448	
15.07497483	13.86769458	
16.21275238	7.48033507	
15.85206581	10.84432864	
17.73400185	9.380238585	
16.43025847	10.60489245	
15.78799953	8.475795973	
15.13638891	9.225234715	
18.01177423	11.35235923	
22.2084295	22.50302738	
17.05032845	15.74419397	
17.72984117	14.84606716	
22.60061544	16.52496319	
23.24057297	13.09670094	
25.31793104	11.27199349	
10.0103013	11.57750227	
13.76810575	34.70796565	
17.95045381	7.293046564	
16.35893294	9.737944814	
16.03943783	6.557916969	
17.60344855	12.26953725	
19.87019127	43.69871957	
17.91654102	30.77826291	
17.52246143	13.57913693	
20.24310234	5.453048022	
17.96618912	7.972246527	
15.86011433	44.26793782	
17.13371722	20.01954329	
15.32073392	16.67636323	
15.98383415	6.721647092	
16.07070914	8.18388272	
14.88825937	11.32519637	
18.03508477	22.36677693	
14.33721411	26.08559562	
14.98056289	6.488008482	
18.74941453	13.06168735	
22.56333593	17.05142706	
18.4452254	12.29817338	
24.10872951	18.92624119	
19.72351302	10.60438886	
23.30131867	11.56291915	
22.81099557	14.11420062	
26.85873605	11.05632449	
32.39493533	12.7583961	
15.60580575	14.7002921	
15.72205363	9.95302239	
17.74553621	6.664268418	
18.26573833	13.74146335	
21.23322383	13.14282067	
19.75381698	16.7340822	
19.02520275	4.160187049	
17.81861249	10.03049623	
15.31271403	3.72635641	
16.87534187	14.53504023	
16.1104781	12.01295243	
19.63457015	9.536714308	
15.9242007	8.450801873	
18.70043348	10.28556082	
17.87378137	12.76231691	
20.60370135	15.70719795	
24.44596159	11.0294022	
24.58904782	12.18771491	
23.31095229	12.04460886	
22.85564106	11.53171767	
25.63682968	11.3977767	
30.71643314	13.43705151	
15.25960028	10.40429809	
19.38275237	13.78215558	
15.60955342	13.24370212	
16.62223614	4.311309837	
15.77549138	11.68724509	
19.85446587	15.89630748	
18.7760014	18.92324769	
16.57170394	13.87034427	
17.96596378	14.21844272	
19.21206927	11.03688029	
17.93703047	15.07226119	
20.30272791	17.03993665	
24.03542684	19.58470633	
28.23689403	7.633196868	
28.08178628	9.45076368	
18.50986985	8.737106393	
22.53239875	9.011186244	
26.15502872	10.45401608	
17.04546538	53.51449451	
16.5737987	15.48525519	
18.83276872	15.51677574	
22.84490994	19.83336745	
16.94132868	8.729858848	
21.43672802	16.35599309	
31.80229369	19.63424454	
20.8139739	3.139107508	
15.5741916	9.579751884	
21.77306726	10.33048949	
19.76701756	19.49841379	
19.0311076	28.35512971	
20.92541767	20.9530073	
25.73031605	9.992357102	
28.73612619	9.862602382	
32.79365695	7.177047778	
24.96201948	7.715331137	
22.1399931	8.658666138	
23.07883378	8.739786705	
17.80373163	9.468528715	
19.93554396	34.71129585	
19.27148824	30.31380536	
22.31362176	18.11928501	
17.49286849	18.46708496	
24.57076637	13.28177971	
20.14741897	8.703624086	
22.49793394	20.60473931	
17.26800524	11.21165729	
20.1540443	12.65782125	
20.43877815	14.21874729	
18.96020462	8.847656188	
27.40192055	9.18208248	
22.23560005	8.252598005	
18.91900213	8.155405157	
19.84109793	8.582986665	
22.65630179	8.5375368	
20.35894107	63.60708104	
15.00133485	59.94630105	
16.32423421	19.08994184	
18.96264226	9.918580027	
46.56442616	3.949188565	
35.09026424	22.02865339	
29.07647985	14.55861389	
25.58480841	11.56364259	
24.07574111	19.39022035	
17.14486782	9.995982549	
16.44418552	10.80499841	
17.71788365	16.91755298	
17.6876566	24.97197015	
16.83000761	12.35234209	
17.93009249	14.34875188	
16.25961491	10.53807452	
17.63449678	10.54739891	
20.79532938	9.654791614	
20.20088606	9.235410104	
19.52696592	10.02056011	
16.77729691	18.31260154	
18.08050082	57.51225651	
20.15708508	67.75745468	
20.07626701	57.81610166	
16.27708724	20.3109989	
18.2154228	17.62206824	
16.04708149	11.65488629	
20.80619378	10.19435174	
21.74713475	12.55228897	
23.37059099	14.83346967	
31.46391794	32.93354086	
32.90184324	7.774279154	
26.5179064	26.22107715	
26.41925221	21.29508717	
20.38516183	12.13414287	
16.96029914	9.291681107	
17.34125059	14.54079256	
16.89106245	13.91718654	
17.27099372	8.839627437	
19.20422584	8.977580023	
17.60786753	16.81756078	
19.2401279	32.05512272	
19.65806729	14.90992381	
15.23228893	11.85489118	
18.3185529	24.44753875	
19.90228675	16.71933141	
18.08124194	10.0483554	
18.37514949	30.11145845	
17.34206029	16.42835034	
17.14879038	8.053868545	
17.95417684	15.06863827	
23.9386327	19.0318637	
23.12208906	28.73912474	
19.62663646	10.76909678	
19.90394195	8.642350253	
19.97485243	8.53717968	
17.00692806	11.34859338	
18.13617408	8.993484598	
17.1904192	8.396407628	
17.812313	20.07027235	
17.63221583	36.16059051	
17.72442074	23.49984395	
19.93062398	11.2720257	
17.61189049	9.409777054	
18.58374959	16.67532917	
17.70895328	10.48319403	
20.65920914	12.56860163	
20.69147973	11.91322864	
16.61215551	8.801555475	
21.26811207	11.72370143	
16.23271515	12.91408396	
17.45334529	14.79922636	
19.0342247	16.95127802	
17.54895461	19.48790645	
25.23609216	7.820851692	
19.24563665	14.86924677	
18.47591556	4.599354913	
17.60998764	11.19456033	
19.36665624	8.650716238	
16.04465901	22.72768187	
19.45298011	10.32012144	
20.91881732	12.76787256	
21.39696074	7.608887024	
18.2905206	11.91007179	
19.44422975	14.04831392	
19.13991511	9.590991493	
13.9420866	16.22840077	
16.6058727	15.63536843	
17.62294198	28.47163873	
25.63232589	19.79788157	
34.26733399	6.428783752	
37.05556943	15.73994981	
20.64277552	10.00343995	
21.005438	9.087917375	
17.6042901	14.03441634	
19.49330622	11.38347756	
20.25915203	11.92187943	
23.54295856	5.76576416	
17.55376019	5.910917978	
21.02887459	59.86963342	
18.78022624	14.06994423	
19.01258343	14.36444674	
19.95104735	11.03890616	
17.76364293	9.765421307	
18.23211434	20.57295193	
30.03492709	19.61531638	
33.55263056	24.07329901	
37.29008206	16.38664626	
17.7521346	14.12984218	
17.20524546	11.40183575	
18.76993393	10.25652239	
20.97496946	7.439021831	
19.68304491	12.02679275	
19.20660013	11.71874405	
18.98466945	10.05658344	
21.11418785	21.51976573	
16.64966485	16.18048791	
19.82354387	8.931157037	
18.93423891	25.85688613	
22.99657057	20.94509816	
27.91594968	18.81193907	
34.00858328	15.96140202	
18.1628805	8.641131138	
16.44461354	8.954622435	
18.76359806	21.98071274	
24.33458586	13.03828502	
19.32333676	13.08311607	
18.79529244	14.47388768	
21.28532406	22.49243706	
21.31811758	7.432076593	
21.13447355	17.51261356	
22.02456179	21.61323716	
21.05493115	6.775529179	
19.75327081	10.16183953	
19.27603397	7.63251168	
19.06540235	16.92620149	
19.5483697	12.15026962	
18.2623325	22.8529305	
21.28229427	13.37501195	
17.49944087	11.38602963	
17.66280999	14.94421338	
19.73115158	10.22722286	
17.08921487	8.757118423	
17.69850233	16.24464654	
16.59792901	5.588935592	
16.93688981	21.80307031	
17.05611307	23.86026823	
17.52628486	14.6046087	
22.16564548	9.602390968	
16.83898444	7.043604199	
15.26528061	11.78264433	
18.26567998	17.64695886	
20.53930783	6.6741328	
17.71734926	19.62154068	
16.3436223	15.35794399	
13.79106572	10.62599835	
15.60927675	4.181804975	
19.18002351	15.00042746	
15.12895102	8.670407322	
15.69114453	7.70215173	
17.83596676	12.95883156	
15.64590984	13.90200515	
17.71832895	10.74266486	
20.17607895	23.81566806	
16.92340336	11.84492517	
16.52283936	14.19945566	
17.38211994	16.45359706	
16.89763788	8.550082035	
15.17524976	8.042380374	
15.96241101	12.10304848	
14.24975165	13.14501019	
16.15677204	10.03668875	
17.70225115	42.84529708	
19.46031927	7.420039924	
18.05858099	14.80190956	
16.54760247	15.13078967	
18.40716074	18.49242494	
16.4400816	12.28468017	
17.83458652	11.00558062	
17.17269627	17.30939622	
18.95128224	5.761251196	
19.50884126	19.39681931	
17.74050789	16.71183047	
17.44236818	11.38186907	
17.45520795	10.69233529	
16.24669391	12.87506255	
17.5776409	14.51621365	
17.08543285	17.47789841	
13.10746158	6.372666421	
20.50205169	13.01722403	
20.19130384	15.99917855	
16.12332283	15.86342618	
16.59465891	17.01289377	
15.93321578	12.04254968	
14.03120117	13.02949244	
