G-peak FWHM	2D-peak FWHM
3.989344443	25.57381687	
11.26303569	23.481146	
13.69154351	17.9889955	
14.20867861	18.33865514	
13.70811117	17.60397385	
12.56750905	18.43723301	
15.60347482	22.24439052	
18.46849424	24.98435215	
18.71785742	29.13647417	
11.02278145	29.24038291	
9.954353729	23.5356761	
9.634542671	21.08318689	
9.643344405	23.02075434	
9.698232435	23.24028151	
9.943681996	22.25092528	
9.36058161	23.33796693	
9.557522858	22.65309398	
10.55666077	21.62848473	
14.88350587	24.91134107	
15.85530385	31.48505365	
18.62245712	28.72733277	
14.87375061	20.54739876	
15.13243266	16.90526434	
11.85850208	17.40145212	
12.86446557	16.88070717	
14.28256088	18.3906519	
14.57094572	20.89449846	
13.90266977	21.3460394	
14.1697907	19.28961508	
11.5292483	19.48924705	
10.19570685	21.51474267	
9.036270565	23.58483909	
9.385156172	23.39177201	
11.07630831	22.90751947	
9.692016019	22.93507282	
9.698227023	22.4664341	
10.36667968	21.98468267	
13.15592059	21.23544325	
15.16513098	21.35742427	
17.22319066	28.73868951	
17.97279742	35.67390416	
15.63723982	24.6061007	
14.19853015	18.32391579	
13.43337114	17.97692889	
14.81882639	18.3925712	
13.89625637	17.23136692	
14.32826837	17.35172139	
12.36645297	17.20858033	
11.98983977	19.14365309	
13.85340786	16.43088489	
14.20399461	17.01168015	
10.57772648	19.1392839	
10.19624639	21.25413424	
10.05821741	22.37444889	
9.55897842	22.21675967	
10.55639394	23.17740417	
20.34234515	31.42951402	
12.67226559	20.33708714	
18.01244648	22.53253204	
17.59896871	21.67488818	
16.94638744	27.62663823	
15.53984742	19.71132735	
13.55899434	17.36344303	
13.4913743	16.68813235	
14.3638768	17.37686721	
14.41733332	17.26006847	
13.02987396	15.80496948	
12.34024889	16.64123757	
14.86876994	19.29008163	
13.52258551	15.83953376	
14.39950211	16.61281364	
12.91246322	17.2978791	
12.29692511	18.14346246	
11.41044915	19.30818505	
10.55041815	22.89198261	
11.33055528	28.51951032	
7.708570677	15.70611856	
14.81111736	19.12546912	
21.04964654	29.06155245	
19.01662969	35.42446443	
14.58908215	21.15195777	
20.06836066	26.42136214	
14.52096714	21.99252443	
14.38349586	23.05701782	
13.31397571	20.6045145	
16.58332436	18.69605985	
14.29248275	17.38338564	
14.04101763	16.82172953	
13.37656241	16.93629304	
12.10973078	16.44718797	
13.21026667	16.31504024	
13.03535932	16.03655375	
14.20511536	17.03710185	
12.63757404	17.53248119	
16.20745216	16.95301439	
13.10154435	18.64764751	
12.68355903	19.72366872	
14.57077409	26.38369869	
21.47459264	37.86379607	
11.45227895	16.77658641	
16.67670873	18.00456751	
15.54368263	20.01006768	
14.79421531	23.63929404	
14.47591014	19.78510788	
17.48040348	23.47667889	
14.17491669	21.79087827	
14.63321299	21.35066937	
15.3076571	20.03787996	
14.32941265	18.17807577	
13.98555126	17.2206688	
12.03544795	17.27422501	
13.20638116	17.29097837	
13.66989998	16.39425791	
12.81967957	17.1387874	
13.77915702	16.55407778	
12.73646895	17.39696814	
12.24820983	16.65194142	
14.43661103	17.6039709	
13.54003087	18.41156375	
15.75793093	19.21543931	
19.37312842	35.10246696	
11.18627061	16.86147562	
9.239894665	16.79784566	
13.20771039	16.68162943	
13.65781195	17.73648676	
14.40935133	16.56430159	
16.11189172	18.9354485	
13.49935997	17.17936888	
15.30017454	17.84035721	
13.89446465	21.35250814	
15.01071604	20.30836912	
15.51285783	19.72674824	
14.42808639	18.1102419	
13.38735556	17.79868047	
12.62124739	17.65869236	
14.71826525	17.07083497	
13.8857154	16.47631477	
12.28784064	16.93798417	
15.52847703	16.94012377	
13.5399022	17.13949055	
13.84848773	17.11323591	
14.35317789	16.47490305	
14.61208669	18.66815071	
7.524665964	16.22209511	
12.32643093	15.83958828	
12.65267774	15.76300491	
13.53220471	16.52109868	
13.88996575	16.31133825	
13.04140774	16.52536336	
14.85660648	16.54516408	
13.98370976	15.54361712	
13.86228761	16.57598551	
13.09909696	18.52100628	
19.28095598	25.27251354	
15.28911053	25.27042005	
11.93610716	18.71289903	
12.464662	17.93198083	
12.10624912	16.71633214	
13.88267783	16.46711952	
14.29977584	16.52298148	
13.85281556	16.28685603	
13.384383	16.7025736	
13.65140066	17.14470191	
13.35000353	17.59655534	
14.23369982	17.06590257	
14.13502957	16.73378602	
19.65802613	17.49240779	
10.62312306	16.07259271	
13.03416132	15.77890224	
12.87819009	16.02374458	
13.26778785	16.00622043	
16.65271254	16.18837574	
14.27941005	16.40976146	
14.87525871	16.58199233	
13.88053794	16.07188774	
13.53072069	16.21603038	
12.68009554	17.45002608	
14.81467033	19.30012978	
19.53868276	25.7346324	
14.70672381	21.40825911	
11.4401623	17.41889198	
12.66891747	17.86133852	
13.05608948	17.74246058	
14.407386	16.41129117	
14.77249761	16.7310636	
13.64357561	15.79174423	
12.59427159	16.8418396	
14.44819245	16.20497637	
3.200211728	12.24354258	
15.81882327	16.89397466	
13.2116653	16.54014276	
13.11300226	16.94745288	
12.46584875	15.99047585	
13.33861194	15.92211194	
12.56600174	16.26401507	
15.18734131	16.11890532	
12.75301884	16.35680712	
14.9753354	16.64901168	
14.30836601	16.47964897	
15.88375728	16.35782901	
12.23579499	18.06221977	
12.66705281	17.94709949	
13.45613054	20.54560545	
15.31282175	25.34198906	
14.8427268	24.07617518	
13.79495726	20.51827395	
13.758918	17.88159365	
12.19052706	16.97285669	
13.5574975	17.02481982	
14.28303642	17.32527993	
12.91162838	16.55976676	
13.81891572	15.96113325	
18.1166451	18.17786544	
14.33367937	17.63192858	
12.41265185	16.48123438	
13.42565784	16.33827797	
13.63609077	16.10520781	
12.7721929	15.73700483	
12.89142675	16.54538245	
13.59456732	15.72149031	
12.98299449	16.6181671	
14.50084491	16.28717084	
14.37674859	15.87233036	
15.76490415	16.73670206	
11.99476971	18.60682638	
12.67005538	18.74841681	
11.88771518	19.58295186	
13.90562535	27.51364614	
16.24389448	28.15868938	
14.92030704	27.32902125	
15.17705459	21.15302805	
12.87134459	18.06488612	
12.26520394	17.97445245	
13.8568739	16.4591951	
13.92054162	16.63197904	
14.00817543	18.55018615	
13.16770194	17.69912521	
12.73434547	16.51632757	
13.51013355	16.33509397	
14.61470924	16.59586336	
13.38394918	16.34968345	
14.92001019	17.02320524	
12.23237819	16.24634064	
12.41081238	16.50763336	
13.42859331	16.30070196	
13.68592866	16.7817993	
14.69785885	16.84204394	
12.49624763	18.19575988	
12.63641038	17.83250547	
10.60065079	22.72187527	
12.29979987	27.37489344	
10.01476258	22.03351315	
12.19153659	26.01511722	
17.55343495	23.47840236	
15.1348726	25.95284575	
14.60076427	21.42719338	
12.18304183	17.05188199	
7.346034637	15.3899207	
12.58782764	17.19067214	
12.49882828	16.78813895	
12.9266995	17.45015291	
12.3077236	17.09732645	
13.53037067	16.57696148	
14.36236087	16.62151469	
12.17978353	16.68753441	
15.3024402	17.16181749	
12.1665572	16.29421776	
12.88817292	16.02163589	
13.03270172	16.59398065	
12.10508877	16.76006012	
13.9270756	18.09063816	
12.91168842	18.1365442	
11.83456137	19.87216419	
10.85499119	27.23564206	
11.0171126	24.37378671	
8.506719883	17.88168914	
9.716235863	18.92032214	
15.32027249	19.37301592	
15.2618021	22.76468328	
15.27518284	25.21336123	
14.24058321	22.01449145	
16.36915439	15.01790094	
13.02159199	15.89425794	
13.31062614	16.68358796	
11.85286807	17.48832039	
13.11826243	17.44899959	
13.38164495	16.81429651	
13.32553305	17.09906125	
14.74479942	16.90937008	
15.71427219	16.67462364	
13.77209643	17.61961015	
14.56661819	17.6171373	
12.15448872	16.54246055	
13.76479316	16.90870156	
14.30714335	16.95302622	
14.50953724	21.01429726	
14.31601973	18.84338712	
14.78451015	23.65512756	
14.15572806	25.69348948	
11.17592774	20.23188826	
9.479833266	18.32486905	
10.59443826	17.87001558	
13.28627461	17.46883641	
13.93283078	19.1813828	
14.91468115	23.03074489	
17.35141067	25.49889291	
17.9682555	29.06424993	
14.73118907	16.40016745	
12.02969739	16.23741307	
13.35414881	15.98736275	
13.74678105	15.9288504	
12.4154541	17.55402158	
13.73423179	17.29776461	
15.1471528	16.62463858	
14.1378331	16.7509363	
14.09437473	17.31814194	
14.25945343	17.5056527	
14.44074813	18.19306103	
13.72150088	18.98623474	
13.2837591	17.78689862	
13.64847239	16.98688566	
15.04140921	17.89942588	
13.37959087	20.82310306	
14.22052009	19.89218407	
14.23566616	22.93181557	
14.70359558	20.25688982	
15.36588397	19.08027583	
12.75872308	18.45249088	
12.57013163	17.81176764	
12.24601302	18.18456575	
14.99095833	18.3283536	
16.03679763	22.39795563	
17.26978192	27.55304018	
17.70929765	30.30940681	
5.741241503	19.71435854	
13.86928894	16.80133316	
13.6045702	15.97383265	
12.57829917	16.76897663	
12.77336159	16.34250077	
14.75025245	15.92833168	
13.37947644	16.37516151	
13.58207155	16.51249792	
13.93234467	16.02032847	
13.50153002	15.97660766	
13.92773381	16.90196678	
14.02777314	16.83867162	
15.44520721	17.60303944	
13.57668197	21.15731484	
16.64113334	21.5934722	
15.73485418	18.96467807	
14.41251968	21.38731499	
12.50815618	20.03633812	
13.71703395	19.41614723	
14.03748504	18.67162377	
13.699233	18.21672333	
17.5083005	18.14519484	
13.24454479	18.23717936	
12.95010971	17.79502777	
11.86393551	18.31756993	
13.52003878	18.73483765	
18.74814357	30.21039805	
17.11569467	29.33780453	
34.02004019	20.42280142	
15.10963905	16.08145741	
11.69130723	17.03029433	
12.02600178	16.02089647	
12.88855441	16.03589637	
13.83681867	16.4116136	
12.36636939	16.21385427	
13.56505916	16.47679866	
13.35662545	16.03303214	
13.4680693	16.88955846	
12.87770577	16.8616081	
13.48072695	16.49002362	
13.51920492	17.07758306	
14.24047826	17.40433959	
14.0949065	22.19936573	
14.71509446	19.68612903	
15.06843343	19.57544817	
13.58160608	20.14330865	
12.64254076	19.69331624	
13.11670314	19.56432293	
13.21227446	17.9427704	
13.28437133	18.41929315	
14.41648469	18.07273789	
12.0764217	17.5317744	
12.91357447	17.8456537	
14.33390839	17.88578579	
14.06979917	19.20423398	
18.03336165	32.02408184	
7.541127856	20.6078429	
14.62945502	18.11043462	
13.00231204	16.69357575	
12.87061667	16.88807595	
12.65112484	16.72177766	
15.15601523	16.76423412	
13.20857326	16.86529082	
12.79896113	15.95567431	
13.30130189	16.57231796	
12.97148619	16.75216633	
13.20273278	18.57581584	
13.10368556	17.13247328	
14.79439467	16.38405668	
14.08401001	17.1663964	
14.84220948	17.66071413	
14.10794062	17.62362243	
13.85705077	17.06118683	
13.50633901	19.65767214	
14.87895306	20.55650024	
12.26995776	19.86475994	
13.60864596	20.20876213	
11.86478975	18.65451101	
13.27556111	18.18537218	
12.23327555	18.56355086	
11.77008695	17.98279413	
13.07353724	17.92081619	
12.0745937	18.55515893	
15.36278661	21.68009821	
17.38538377	30.13875894	
16.62903462	22.57282842	
12.85111137	23.19637338	
13.86674271	19.57437318	
14.30398611	17.91865959	
14.98106348	16.3482444	
12.67276084	16.04561816	
13.01420283	16.71183292	
13.65706648	17.11995794	
11.84587814	16.28870273	
12.81949443	16.44300265	
13.36614	16.52539731	
13.41779379	20.34230612	
13.83399838	17.06191354	
14.80015207	16.49722506	
15.37019386	16.98242943	
14.74337434	17.22122006	
12.99228222	16.52933621	
12.83848473	17.45344475	
13.83873177	18.65924249	
13.41545949	20.57763367	
13.17447144	21.16140196	
13.83186381	23.27209394	
12.25984645	20.73907882	
13.12417518	18.57955238	
12.47795461	17.84075189	
12.9282029	18.55554166	
11.92086399	17.92285733	
14.07326009	18.00660124	
16.14108239	29.24429645	
18.76082708	18.90767474	
15.49233644	24.71997418	
17.31635609	29.3714271	
15.17608263	21.98847397	
15.00803123	17.63155044	
15.38446145	15.93479117	
13.16988527	15.93572531	
14.06108312	16.31203231	
14.49908833	16.70589085	
13.36620397	16.30522987	
14.19437858	16.40233954	
13.32558847	16.34614137	
13.34230676	19.40863823	
12.30461223	17.42723096	
12.78230932	16.48196953	
15.11861613	16.11570623	
14.10053753	16.45806553	
13.37361681	16.95186277	
15.25704832	19.51410436	
13.32027701	18.16153348	
12.75323624	17.35941882	
14.77546593	19.20721898	
14.29797922	22.82884667	
13.47369127	24.81962918	
13.30368037	19.67948347	
14.01645102	17.89036699	
12.35386111	18.71093023	
12.21389923	18.49030744	
16.07632657	18.7003579	
17.12352548	32.18489408	
34.33180927	20.6746292	
16.59797555	21.83154521	
15.59720761	21.39950516	
12.96343354	21.49945072	
6.811571212	23.10576456	
17.03839223	20.87123385	
15.77191916	20.18695233	
14.38743111	20.14694314	
15.93357809	23.39620673	
13.31788664	19.53394233	
14.46059272	17.27528988	
13.67627944	15.83419908	
12.34939305	15.80072012	
12.4217366	16.12225168	
13.65186882	16.3059672	
12.65446315	15.88255361	
13.72406038	16.83504229	
13.73264157	17.02076456	
12.20802235	16.54339951	
14.07592774	16.39209771	
13.144169	16.72732831	
14.12625696	17.51579936	
15.77223381	27.27281483	
13.90835201	19.0665002	
14.86347982	16.78162537	
14.30151742	17.93171667	
13.85537315	17.77432761	
13.5975591	18.69461431	
12.79743242	19.7979257	
12.74420664	18.40923972	
14.14650801	20.65068849	
12.72626739	20.25984687	
19.8645667	24.35984777	
3.512431829	12.59476867	
23.23475339	18.73088314	
6.127790014	17.15699063	
18.99497052	25.53029164	
14.74781176	23.69860306	
18.30994687	23.16703011	
15.95845104	29.38510565	
16.8662129	25.29063952	
6.590701236	23.29162337	
47.16825678	17.44077442	
17.3428705	17.2221663	
11.36554136	18.32755898	
15.71188302	22.25665818	
13.6279957	17.20197046	
13.67089465	18.92286224	
13.71706433	17.51946199	
14.80397065	19.1399495	
13.42276813	17.40027024	
12.70559606	16.20783978	
11.74533782	16.21051316	
14.16670354	16.33183913	
12.09815318	16.31220416	
13.58738561	16.40102235	
13.83210838	17.38923163	
12.52131217	16.72002669	
13.22236337	16.54103861	
13.0509317	16.87619687	
14.66382683	17.50119286	
14.20021244	19.99867031	
14.92982137	20.9469137	
13.54720461	16.41249914	
12.2645182	17.19639768	
14.19604502	17.56505092	
13.61804708	18.36951927	
11.2007809	19.33721867	
14.69443795	19.45317197	
13.48575264	21.8139683	
15.18831884	24.28969244	
5.553406288	17.66315114	
11.52716611	17.70545001	
11.10168172	16.79306271	
16.04303897	22.09883517	
14.80501386	23.42675976	
14.90358823	22.26296423	
16.4725899	27.85885139	
15.25699975	24.1839514	
15.20655339	22.58744863	
12.05704581	18.30711188	
13.18136608	18.75134778	
17.84428669	18.68616337	
7.161090839	16.63648663	
14.87995463	16.51340066	
14.79566427	16.90896133	
13.66164436	18.46921316	
14.11495147	22.32488334	
14.30878805	16.83794188	
13.34270683	16.22478935	
13.67335445	16.7967018	
14.63445506	19.22531928	
14.79539177	21.33657228	
13.16679639	17.20053702	
12.52657408	16.98442629	
14.74508217	16.3709559	
12.47437634	16.66314144	
13.03749984	16.91349909	
12.7499037	16.48052988	
12.42705335	17.11940224	
13.31167745	18.22675943	
12.82247723	16.92601907	
12.53330903	17.02068741	
12.3534096	17.18797583	
13.92223509	17.43288087	
13.9555671	17.34180269	
13.59216982	19.27792171	
13.17201847	17.75406782	
13.25805306	17.33385498	
14.73321055	17.83470172	
13.42139029	17.41198951	
11.9075347	20.5385953	
12.91223713	21.47894005	
12.12475915	27.87925147	
17.66810656	30.75411042	
13.62027834	16.12217184	
12.61009703	16.90754104	
13.85603061	16.60499053	
13.28425604	17.46660694	
12.98421158	17.57085359	
13.33077956	16.50316373	
13.72919361	20.48023272	
14.82473811	20.03026074	
13.85445944	20.47247519	
13.51349376	21.22478515	
15.38374095	21.22938272	
18.18435063	24.87002286	
16.18006686	22.72747019	
16.27635414	17.68464977	
14.29023679	22.4503235	
21.46682562	14.64132014	
10.9059314	16.66429579	
13.48525509	16.82763032	
13.29674728	16.58482697	
14.42782299	16.79455947	
13.50486166	17.36861154	
13.15046007	18.88744939	
13.77537782	16.62823761	
14.01586787	16.20976415	
13.21784895	16.90379041	
12.52208366	17.5767681	
13.62021939	21.55099838	
13.54294093	19.65226065	
13.47366437	17.4645826	
14.26826331	16.56202733	
11.46355005	16.4511727	
13.57553115	16.4927158	
12.96158275	16.80151109	
12.92675187	16.89809216	
12.62474342	18.71605365	
12.07783725	16.98090515	
13.47154848	17.58207282	
12.45641314	17.67400262	
12.33595525	16.74299246	
14.06996958	16.92329765	
13.85664285	17.39953454	
15.3614074	17.75104064	
13.78978607	19.17713383	
15.52459852	19.52536431	
15.15509947	18.69892475	
15.12598621	22.55140915	
11.99243856	27.00153125	
11.924985	27.42995381	
13.13641723	18.80573238	
10.09876897	16.77737649	
12.74140588	16.97322426	
14.41612475	17.87569042	
13.15885376	16.43426149	
13.55800487	15.90273186	
13.38961994	16.20042495	
11.04258942	17.20400244	
11.97988952	16.72954953	
12.19284407	18.10805924	
14.10382227	21.36699702	
17.03563395	22.89079453	
17.69136333	23.68455152	
19.21938899	26.67945431	
13.71060448	20.93272626	
13.41074534	22.29769232	
17.12788435	30.95444465	
13.56917269	22.08707423	
13.48461323	17.68863785	
10.48221575	19.93133808	
17.10621016	20.46334349	
7.480983633	14.81538666	
13.64577893	20.27945209	
12.86330893	17.25776632	
12.38962558	16.83715625	
12.9678627	17.62885968	
13.49777803	16.59635917	
12.19629269	16.58624248	
13.40017182	17.21850734	
12.46109186	17.16284206	
12.71971717	16.80311928	
12.89198092	16.66814855	
13.31386596	16.93552501	
13.36030821	17.80768549	
13.81992077	18.55795098	
12.79130082	17.68074058	
14.04002639	17.41018431	
13.2769904	16.64092321	
14.33601866	17.07981144	
13.86581357	17.02349672	
13.33182287	17.17636916	
12.45514832	20.4299731	
12.90973344	16.8440413	
14.519254	16.95485737	
12.33484109	17.37988598	
12.54696609	17.21840428	
13.47642491	17.00571821	
14.24280562	16.90024425	
14.683992	18.0571735	
14.30171718	21.68841079	
18.16424684	22.70042898	
18.90220894	23.44397488	
15.00090385	26.38727763	
10.68171879	24.82754622	
12.8563192	30.23663932	
8.981916876	19.2796031	
11.52358927	20.30274403	
12.4722029	16.78607888	
12.98153142	17.61628	
13.44183388	18.10549924	
13.87273017	16.18188473	
14.64979596	15.93318758	
12.63715568	16.04009279	
11.32864074	16.77627069	
12.45582023	17.38178676	
12.03703997	16.82721964	
13.9988696	20.10673331	
11.94163948	19.49203907	
14.07099167	19.28040451	
18.20657565	25.07860118	
11.05450938	20.90355305	
11.60123042	19.73579772	
14.73344849	27.39738006	
14.94363138	26.6009811	
14.81503956	19.71665687	
13.97364579	22.86393182	
13.97218487	19.6721331	
15.27204771	18.23362871	
13.46693316	17.45982996	
14.1010546	16.48146659	
13.4142327	17.56296655	
13.76385013	17.09690809	
14.09986776	17.02306808	
12.54415753	16.89016094	
13.67258135	17.02620561	
14.65757402	16.32215441	
14.04606384	17.097589	
13.40649728	17.74317902	
13.14923808	16.94684457	
12.6256013	16.63037568	
12.80885941	16.75085549	
14.27403899	16.15662934	
13.59516226	16.97051722	
14.23568888	18.87367402	
15.64007971	20.8227578	
14.46663247	19.46842707	
14.75936936	19.72892985	
14.14452195	17.88839238	
15.50103629	17.3747813	
13.43892695	21.83986199	
12.49766451	17.11974368	
13.49446045	17.37622713	
12.57604769	16.91295034	
13.66688647	17.27711457	
12.92495158	17.63930332	
13.93020141	17.21235279	
16.49349569	20.89666679	
17.57783405	26.89904529	
18.59004924	28.48303421	
16.60406168	22.3281046	
10.85659687	22.86016057	
10.37535884	29.6922771	
10.72223842	18.58622106	
9.34525837	19.35513192	
11.99320515	22.20974508	
14.41412807	16.58044838	
14.01087769	17.93310027	
11.80005153	16.53000959	
12.11180982	15.76057426	
13.6860313	15.94030174	
14.01260679	16.11838903	
12.64035146	15.84264099	
13.44876799	18.74345566	
12.7429611	15.95551187	
12.94864725	18.01555401	
11.30876044	17.656372	
14.95746195	18.34921548	
12.21397763	19.22071951	
13.68962068	18.81228545	
11.86695119	17.59584737	
13.1683873	22.64574851	
17.70105125	27.8944022	
15.65395538	24.22609711	
12.25370856	23.57616447	
14.44358812	24.42021792	
14.23130247	22.73468616	
15.2285466	16.83170592	
15.99718241	18.09920208	
13.64825995	18.91024001	
11.33959167	17.94079791	
16.83229836	16.37699613	
12.98936096	17.22204341	
13.72153754	16.2603766	
9.501363726	17.70267003	
13.53230716	15.55165357	
10.53125024	16.2201281	
14.3333371	17.45908913	
12.76284166	18.14412518	
15.82563018	17.77736238	
13.13375133	15.89838149	
13.99405513	16.9337032	
14.73597275	17.63293491	
12.01992239	17.65574785	
11.69923931	17.41546456	
13.60539208	16.86568771	
15.04344278	16.48638592	
12.31644675	18.12605851	
11.18310883	19.09889251	
13.14272021	16.66349034	
13.41560261	16.44369901	
12.44916057	18.04042916	
14.82362457	16.78062813	
14.22795289	16.45548124	
14.75309904	18.32483884	
17.03715673	24.90088545	
26.37473218	28.45427071	
17.0136194	26.07770019	
18.53139321	24.10222036	
13.19213144	18.76477113	
14.03887147	20.71745519	
12.21318358	17.41510707	
14.0672072	16.98867454	
13.09385239	17.92683716	
14.2606705	17.51196467	
15.68813581	18.14721244	
15.05613186	18.55110039	
18.19228945	24.67111431	
18.53730742	33.87067364	
12.76042268	22.43518684	
9.790746918	20.62485472	
12.00843826	16.14150227	
10.86082211	17.44431772	
11.61318159	18.79660119	
14.10835063	19.63893872	
12.95476863	16.30243221	
12.42420126	16.68657285	
12.66878715	16.20635243	
12.43902914	16.4872842	
12.97508301	16.3955593	
12.45860041	16.05403282	
14.64447191	16.77027516	
14.21108636	21.642745	
12.33271101	16.89688343	
12.04446787	16.86861556	
12.58226413	17.42458663	
14.80938655	17.29307662	
13.54313155	17.17072523	
12.64276241	17.06012025	
13.99459837	16.71452538	
13.48326236	17.27686151	
15.55125956	19.49017447	
14.30796057	24.41703306	
10.73343175	22.56858476	
15.16424142	27.89157184	
13.30254155	23.79881106	
13.30293192	18.50469348	
15.03486314	19.21147343	
14.64242163	18.64482296	
14.48549765	19.69819027	
14.30080668	16.61383115	
12.64422598	18.01410784	
12.98410424	16.77231142	
11.51269089	17.21050244	
12.64848097	16.64159569	
13.76959339	17.57771985	
12.28533712	18.29316665	
12.64131671	17.88714237	
16.04523472	17.13476276	
13.5751202	16.1254737	
12.62584835	16.52841382	
13.52900699	19.58887874	
12.51842101	18.49648491	
11.44153921	18.02723442	
13.97860161	16.96711305	
11.91746583	17.10843365	
11.88159719	19.25551495	
9.977253505	18.8234355	
13.2593117	16.68036198	
13.08599243	16.29369279	
12.72617702	17.78305658	
14.29771604	16.30877933	
13.52529832	16.45457065	
14.08291658	17.46860525	
13.37436527	19.84943559	
34.30997087	22.53585947	
24.66042167	50.94315394	
22.48302509	39.51509834	
15.84002332	25.44700297	
13.16053488	23.88206683	
12.3471283	19.4753537	
14.44969555	16.90285442	
13.61311299	17.56031286	
14.35907618	17.85685432	
13.70907404	17.65416681	
13.52194971	18.88837374	
14.40636571	18.94193672	
16.86312671	26.52558999	
12.26832683	21.77153674	
10.81139718	19.79082456	
13.67991402	16.405163	
12.84067489	16.06571719	
13.09640438	16.8028778	
12.30761364	16.73948224	
15.22231669	16.49485904	
13.037391	16.29689981	
12.04955893	16.28243128	
13.0505485	16.19029189	
13.91206381	16.02498797	
13.59307116	16.79098135	
13.21306481	17.60603765	
14.26222859	18.92162131	
13.95701499	17.7399565	
12.92119401	16.44453054	
12.49965495	16.366897	
12.72245342	16.71403281	
12.44239747	16.28830822	
14.05919559	16.33739157	
11.3467826	16.78160388	
14.79379612	16.54397396	
12.26700107	15.89876683	
11.41057394	17.15782392	
16.0273502	24.14056366	
12.72692011	19.94678601	
14.20516413	19.95254889	
13.53900621	22.00004308	
11.11768621	20.2183514	
14.67339889	23.82836341	
15.03325068	20.31359414	
13.08947188	18.86466758	
13.57889136	16.76062536	
15.78881301	20.13118557	
13.18699441	17.85214489	
11.93975031	17.07803736	
11.48162184	16.62545705	
15.21821467	19.32486577	
13.03008454	20.32959421	
16.11768337	17.72455603	
14.54599398	16.5517898	
13.66870203	18.01797084	
12.23943163	16.66502309	
13.46438714	18.64647986	
11.143741	19.30823894	
11.92313845	17.0896348	
14.38152555	17.44010683	
12.34804141	16.57947347	
11.61493646	19.66640577	
11.7574174	18.36768212	
12.35149699	16.6310681	
12.99730274	16.64801064	
13.79422797	16.54983563	
13.86985374	16.29093636	
14.74710757	16.30586374	
12.65431732	15.94724734	
12.70536879	17.17843403	
14.58074855	17.80461204	
15.90987478	22.49709591	
22.90634678	44.61680471	
22.8176511	33.11742135	
17.91294371	29.85084124	
13.92153291	22.56580131	
13.67682351	17.5962173	
14.6751434	18.43877574	
12.90392159	16.88304365	
14.49138418	16.8313471	
11.9369923	17.95951162	
12.55565058	18.34929937	
13.70444059	20.00721218	
11.442036	20.16454264	
9.737608615	21.35018778	
61.92272597	19.55531384	
9.924112127	17.45635135	
14.52012169	16.0694682	
