G-peak omega	2D-peak omega
1577.169704	2667.215871	
1577.280147	2672.429573	
1580.749214	2679.274297	
1581.592861	2681.620149	
1583.034736	2682.820286	
1582.075747	2681.3151	
1578.258154	2677.75357	
1576.618202	2674.950691	
1579.029444	2676.80972	
1583.012859	2678.656567	
1584.90654	2682.746247	
1586.01194	2682.917105	
1586.056892	2683.514633	
1586.180528	2683.799331	
1586.127098	2683.33575	
1585.754094	2682.866897	
1584.869721	2682.517969	
1584.534673	2681.30196	
1578.242994	2672.601854	
1577.783616	2672.441177	
1580.181984	2675.263874	
1582.094683	2681.459133	
1582.341329	2682.667984	
1581.583159	2682.439935	
1580.87891	2680.87306	
1580.256639	2679.823736	
1579.660696	2678.166996	
1580.583133	2681.444525	
1583.503909	2682.603657	
1584.950784	2684.68907	
1585.865767	2685.705123	
1586.485352	2685.914433	
1586.756297	2685.648685	
1586.339015	2684.838701	
1585.94163	2683.625417	
1584.774413	2682.209913	
1583.50083	2680.174875	
1580.673287	2677.243037	
1579.215764	2680.371624	
1582.782724	2686.357764	
1587.647381	2695.225833	
1584.84927	2688.976003	
1583.206765	2685.384764	
1582.942906	2683.642887	
1581.373274	2682.139982	
1581.544897	2681.456702	
1580.561986	2681.097382	
1581.913015	2682.321679	
1581.663334	2684.421463	
1583.700644	2685.544294	
1585.458719	2687.410257	
1586.039522	2687.604353	
1586.623836	2687.254242	
1586.870052	2687.444965	
1586.146361	2685.365242	
1584.689767	2682.019787	
1579.509495	2677.408079	
1580.263063	2680.230575	
1582.962768	2686.575119	
1585.344943	2688.218502	
1589.477946	2698.27846	
1585.326833	2690.951815	
1583.681378	2686.26623	
1582.644256	2684.712416	
1582.044572	2683.1842	
1581.415401	2682.562709	
1581.200834	2682.163425	
1581.479692	2682.290373	
1582.180321	2683.80378	
1583.480305	2685.25504	
1583.488901	2686.158163	
1584.109422	2686.921719	
1585.318616	2687.028493	
1585.915909	2689.358612	
1586.405718	2690.022613	
1584.638876	2682.988026	
1472.365646	2678.845514	
1580.714915	2679.500678	
1579.173127	2680.477628	
1583.442484	2687.269677	
1583.024444	2685.145756	
1584.169179	2687.460153	
1584.435257	2686.322353	
1586.149344	2690.793307	
1583.564014	2687.732659	
1583.413665	2685.607383	
1582.349037	2683.581874	
1581.873594	2682.471062	
1580.846195	2682.541641	
1581.501373	2682.433011	
1581.660334	2682.531071	
1581.71631	2683.531127	
1582.479146	2684.051272	
1582.882944	2684.674451	
1582.592795	2685.311728	
1583.641459	2684.636192	
1583.805874	2685.829932	
1585.792361	2689.490529	
1583.385983	2683.922921	
1579.930995	2680.390829	
1581.040666	2680.296976	
1581.904607	2683.445244	
1585.139639	2690.397982	
1583.472821	2685.353691	
1581.780207	2682.815544	
1581.800008	2682.669152	
1582.174117	2682.578388	
1581.58593	2682.693615	
1581.599351	2682.649361	
1581.687756	2681.908474	
1581.400685	2681.829002	
1581.381888	2682.160422	
1581.120595	2681.979343	
1581.713581	2682.311691	
1581.374951	2682.987702	
1581.948438	2683.168738	
1582.492041	2683.127601	
1581.422735	2682.677483	
1581.468247	2681.582917	
1579.814261	2679.027528	
1580.548303	2679.495752	
1581.843267	2680.447121	
1581.297084	2680.638048	
1580.315783	2681.062012	
1581.751189	2682.128117	
1582.737221	2684.109407	
1582.853868	2686.104523	
1583.473138	2683.980237	
1581.707345	2682.01077	
1581.890192	2681.126538	
1579.388079	2677.923764	
1578.953925	2678.254868	
1579.575595	2678.987212	
1580.613826	2680.125002	
1580.693789	2680.891243	
1580.901795	2681.043101	
1581.240431	2681.452584	
1581.137029	2681.778842	
1581.581786	2682.156636	
1582.46051	2682.791766	
1581.861146	2682.387309	
1581.003879	2681.620892	
1580.316199	2679.589829	
1578.539898	2679.203719	
1581.591011	2680.436095	
1581.76155	2681.115816	
1581.07209	2681.79998	
1582.493103	2682.620334	
1583.561258	2684.030487	
1582.202932	2684.805681	
1582.570843	2684.784354	
1582.54726	2684.470672	
1582.956302	2684.284102	
1580.864972	2681.846263	
1578.35966	2676.930745	
1578.258145	2676.663394	
1579.831453	2678.3256	
1580.334889	2679.443157	
1580.238284	2679.586321	
1581.292607	2680.945165	
1581.588647	2681.376203	
1582.680106	2682.576413	
1582.776928	2682.674553	
1582.041123	2682.947437	
1582.001265	2682.070828	
1470.664003	2680.328849	
1579.168891	2679.526365	
1580.320585	2679.391817	
1580.837472	2680.671133	
1580.698889	2681.447587	
1581.915261	2682.328215	
1582.444296	2683.013585	
1582.627412	2684.17901	
1582.98645	2685.108999	
1583.154256	2685.442255	
1582.799025	2686.090144	
1584.597517	2686.994464	
1584.731453	2686.627781	
1581.362036	2683.577374	
1578.78831	2677.808085	
1579.584503	2677.292564	
1579.903897	2677.972291	
1579.889872	2679.039471	
1580.441598	2680.479618	
1581.568877	2681.313268	
1581.274471	2682.171968	
1582.36716	2682.885851	
1582.874243	2683.516606	
1595.520986	2685.182108	
1581.466927	2680.380761	
1579.489421	2679.678323	
1581.052331	2680.233099	
1581.045719	2681.351312	
1581.81222	2682.1095	
1582.683235	2682.824665	
1582.15251	2683.71848	
1583.250853	2684.7585	
1583.658319	2685.552918	
1583.740994	2685.956154	
1583.291162	2686.932171	
1584.704557	2687.581786	
1585.092431	2685.988625	
1584.026483	2684.116798	
1581.1507	2680.443067	
1579.80668	2678.660191	
1579.442197	2677.319746	
1580.390361	2678.346041	
1580.144142	2679.364721	
1581.391847	2680.716274	
1581.042964	2682.109132	
1582.239655	2683.492313	
1582.993717	2684.517317	
1581.106209	2682.436804	
1580.564427	2679.314304	
1580.503853	2679.668093	
1581.285983	2680.843828	
1581.60066	2681.912059	
1581.570248	2682.776312	
1582.870888	2683.575316	
1583.167512	2684.396313	
1583.167128	2685.404542	
1583.323964	2685.883211	
1583.277346	2686.254933	
1584.162494	2686.995272	
1584.220361	2686.407543	
1584.30359	2685.229076	
1584.028051	2683.223092	
1582.224244	2680.080341	
1582.464838	2682.244364	
1580.507234	2679.404831	
1579.882067	2679.437862	
1579.325878	2678.484345	
1580.630791	2679.953922	
1581.103152	2682.162404	
1580.43247	2678.204087	
1580.052126	2678.798464	
1580.221533	2678.155408	
1580.52927	2679.608996	
1580.92891	2681.272113	
1581.817869	2682.577375	
1582.063684	2683.761357	
1582.988889	2684.706702	
1583.382991	2685.287594	
1583.980622	2686.065423	
1583.515261	2686.27425	
1583.432368	2686.492561	
1584.706962	2686.567326	
1584.84675	2684.791933	
1584.719838	2684.976745	
1582.253618	2680.809928	
1581.200431	2677.699064	
1584.252767	2683.740309	
1582.892013	2683.300967	
1581.721181	2684.734812	
1580.047591	2682.650625	
1579.546245	2680.624611	
1581.815679	2682.089062	
1579.423225	2678.425551	
1580.706821	2678.61049	
1580.206569	2678.514685	
1580.347215	2678.865327	
1580.756267	2680.423952	
1582.218366	2682.216708	
1582.412421	2683.778498	
1583.108618	2685.232231	
1583.357675	2686.157052	
1583.904854	2686.605406	
1583.871112	2687.020328	
1583.842804	2686.614857	
1583.820264	2686.388345	
1584.147835	2685.111238	
1584.11621	2683.863188	
1585.528522	2686.490301	
1581.913166	2679.832305	
1582.552938	2682.730243	
1584.448491	2684.186037	
1584.261815	2683.432356	
1583.194069	2683.652484	
1582.500491	2684.588331	
1580.372017	2684.567782	
1581.90989	2684.63479	
1578.495133	2679.380065	
1579.863868	2679.406408	
1580.922507	2679.452184	
1580.341001	2679.583923	
1580.961923	2680.596964	
1581.194539	2681.861825	
1582.277817	2683.436305	
1582.296325	2685.079	
1583.6099	2686.811822	
1584.330411	2688.086818	
1584.293838	2688.583915	
1584.43887	2688.144427	
1584.175209	2687.061763	
1583.087161	2686.023187	
1582.500236	2681.60254	
1583.299871	2681.53153	
1582.059618	2681.191733	
1583.581268	2683.29243	
1585.321237	2685.329225	
1585.018088	2684.422742	
1584.003742	2682.705594	
1583.52401	2682.582117	
1583.286862	2682.949357	
1582.07357	2684.936596	
1582.013506	2687.895975	
1581.476759	2692.258848	
1580.295527	2680.130883	
1580.767188	2679.768847	
1580.199959	2679.978008	
1581.063695	2680.356739	
1581.143226	2680.885944	
1581.00467	2681.971951	
1582.123366	2683.321382	
1582.630751	2684.891553	
1583.241406	2686.507489	
1584.653331	2688.610015	
1585.534335	2690.861313	
1585.842392	2691.878488	
1585.330728	2690.083316	
1584.552792	2687.311185	
1582.595922	2684.936649	
1581.426557	2678.329343	
1581.69669	2677.597152	
1581.28148	2678.673155	
1584.069808	2683.063314	
1584.331356	2683.039751	
1583.843916	2682.791136	
1583.052415	2681.121915	
1582.370575	2680.515126	
1582.10575	2680.416833	
1581.61936	2680.563598	
1581.788695	2688.445019	
1580.944075	2692.653784	
1469.057691	2681.158451	
1580.18181	2680.170585	
1580.426461	2680.332447	
1580.891578	2680.511978	
1580.67036	2680.809666	
1581.587852	2681.198193	
1581.447144	2681.816631	
1581.675602	2682.934537	
1583.069714	2684.273169	
1582.851677	2685.566455	
1583.753693	2687.42916	
1585.296752	2689.846934	
1586.80413	2693.230309	
1588.66265	2696.836064	
1585.07966	2690.039651	
1582.889394	2685.474803	
1580.704215	2680.153437	
1580.799012	2676.604835	
1581.004482	2676.94249	
1582.449164	2681.170998	
1583.258022	2681.262694	
1582.649631	2680.915116	
1582.928524	2680.947098	
1581.566831	2678.966546	
1581.101454	2678.766251	
1581.288316	2678.311718	
1580.540755	2679.641677	
1581.485587	2688.096513	
1583.511832	2677.80817	
1581.593952	2680.15309	
1580.188941	2680.333073	
1580.852009	2680.547816	
1581.048659	2680.881637	
1580.521148	2681.45148	
1581.541409	2682.157611	
1581.551046	2682.411847	
1582.191291	2683.329828	
1582.996135	2684.978463	
1583.368635	2686.118676	
1583.969552	2687.654316	
1585.107247	2690.099351	
1586.707034	2692.86864	
1588.116568	2696.14141	
1584.165933	2687.977771	
1581.453359	2682.850677	
1580.242897	2676.02374	
1580.662627	2676.177575	
1581.485873	2678.597403	
1582.325809	2680.350895	
1582.928041	2681.183909	
1582.659243	2680.074549	
1581.595559	2679.045862	
1580.494536	2677.307071	
1580.283168	2676.248818	
1580.573183	2676.571815	
1580.845188	2686.202197	
1573.705837	2673.210227	
1579.198048	2677.502168	
1580.154594	2679.542954	
1580.258486	2680.700913	
1580.960119	2681.117007	
1581.046785	2681.083483	
1581.048091	2681.432451	
1581.817812	2682.199723	
1581.935367	2682.88979	
1582.285759	2683.635151	
1582.852807	2684.067528	
1583.599353	2685.82251	
1583.43491	2687.181488	
1584.840006	2688.699611	
1585.185913	2690.315679	
1585.653864	2690.549687	
1584.376559	2687.551835	
1582.32874	2683.871951	
1581.755538	2678.307785	
1581.627478	2679.08453	
1582.03811	2679.57254	
1583.596647	2681.332708	
1583.435305	2682.333184	
1582.244743	2680.382093	
1581.428624	2678.214015	
1579.972595	2676.195549	
1579.642158	2674.027065	
1580.031977	2674.88229	
1580.571863	2686.241908	
1573.261779	2670.419374	
1578.226211	2673.492646	
1580.340225	2679.086043	
1580.746674	2679.499433	
1581.380141	2681.075586	
1580.867548	2681.551266	
1581.858198	2681.391135	
1581.427381	2681.745486	
1581.846101	2682.67728	
1581.572205	2683.08817	
1582.529476	2683.614532	
1582.537488	2681.467751	
1583.136449	2684.907255	
1582.704579	2686.187937	
1583.700146	2686.950202	
1583.993541	2687.975811	
1584.47529	2688.083267	
1583.6491	2687.442479	
1583.087667	2685.495477	
1582.929903	2683.151657	
1583.056007	2683.906752	
1583.883657	2683.460718	
1584.638187	2683.761256	
1584.296969	2684.357475	
1583.530991	2681.192005	
1581.637613	2678.322038	
1579.972129	2675.5562	
1578.919128	2672.409234	
1579.723477	2676.29726	
1579.556503	2673.763979	
1577.392084	2673.686336	
1582.757074	2681.844513	
1582.328808	2683.78038	
1581.818704	2682.65897	
1581.776433	2681.543571	
1581.165137	2681.926235	
1581.960253	2682.085709	
1581.567484	2682.294392	
1582.000615	2682.791537	
1581.927203	2683.456712	
1582.357719	2683.80357	
1583.662639	2682.655584	
1582.819914	2684.231265	
1582.653159	2685.2066	
1583.414945	2685.827328	
1583.146785	2686.23144	
1583.603167	2686.909263	
1582.950392	2686.385121	
1583.286977	2685.86949	
1583.952811	2686.888857	
1584.429477	2688.493251	
1585.781016	2690.177297	
1585.785141	2689.173404	
1585.107318	2686.436797	
1583.344577	2681.97702	
1581.746907	2678.72674	
1579.842507	2675.574405	
1579.694237	2672.560163	
1579.726816	2677.973168	
1580.555344	2683.90286	
1583.032672	2684.021251	
1583.023812	2683.807214	
1581.8405	2685.617168	
1582.464583	2684.962261	
1580.210155	2674.910949	
1578.525588	2675.666879	
1579.681988	2678.245468	
1584.291514	2687.535407	
1584.239955	2686.753132	
1581.668089	2683.118267	
1581.60191	2681.680638	
1581.444067	2682.137191	
1582.066601	2682.512908	
1581.611778	2682.560115	
1582.207014	2682.821687	
1582.313854	2683.586657	
1582.740665	2683.64506	
1582.376048	2684.548511	
1582.880422	2684.924968	
1582.553774	2684.9497	
1582.34101	2685.021892	
1581.642076	2682.880098	
1583.084043	2685.161988	
1583.670191	2687.053935	
1585.13072	2689.138378	
1586.555541	2692.183762	
1587.075404	2693.385601	
1585.446345	2688.384006	
1583.635399	2682.699088	
1582.671283	2680.638776	
1580.499574	2677.290172	
1580.873066	2673.485098	
1472.29292	2683.739806	
1499.409484	2684.826216	
1579.816312	2684.106702	
1582.115946	2684.452884	
1582.95593	2683.566711	
1583.196349	2684.309106	
1582.749221	2683.488597	
1582.436071	2684.483358	
1580.516661	2683.328051	
1585.754871	2678.71404	
1580.228673	2678.333328	
1579.338066	2676.24515	
1578.603839	2675.931043	
1580.267201	2680.49442	
1583.256322	2684.666956	
1583.24907	2685.082307	
1580.946729	2681.182109	
1581.36107	2681.450745	
1581.859592	2682.314084	
1582.106732	2682.818676	
1581.675305	2682.674548	
1582.555184	2682.930229	
1583.138894	2683.621994	
1582.556782	2683.095558	
1582.795939	2683.893693	
1582.356858	2684.063555	
1582.331513	2683.994191	
1581.571557	2684.076751	
1582.856974	2685.85314	
1582.485607	2683.707333	
1583.580207	2686.496634	
1583.682643	2687.770856	
1585.126387	2689.768447	
1585.41177	2690.714984	
1585.177984	2688.545474	
1583.744297	2684.417869	
1583.011465	2683.61371	
1582.002971	2680.003137	
1468.789874	2684.998528	
1582.55524	2683.856515	
1581.644761	2683.402323	
1581.924627	2683.442494	
1582.970401	2683.401618	
1582.682566	2684.154441	
1583.844337	2684.889957	
1583.148383	2685.386643	
1583.130987	2685.769318	
1583.033582	2684.988951	
1582.661856	2685.989213	
1583.998436	2686.129964	
1580.220692	2680.459891	
1579.818142	2679.84027	
1580.085468	2678.964612	
1580.351302	2678.36526	
1579.291102	2677.494351	
1581.20297	2680.585308	
1582.253182	2682.582034	
1582.506096	2683.969037	
1581.99885	2683.285225	
1582.760501	2682.099152	
1581.404625	2682.733716	
1581.298551	2682.276756	
1581.687485	2682.465738	
1581.890391	2682.760606	
1582.057601	2683.767492	
1582.913188	2684.021383	
1582.734365	2683.854997	
1582.359341	2682.753196	
1582.560022	2683.596619	
1581.762479	2683.051608	
1582.285532	2683.102515	
1582.106411	2683.733534	
1582.060794	2683.988444	
1581.809919	2682.738097	
1583.018621	2685.409424	
1583.070497	2685.801495	
1583.21101	2686.700879	
1584.064287	2687.250452	
1584.093989	2685.38231	
1582.952556	2683.675451	
1581.369708	2678.566602	
1580.835823	2677.999681	
1584.113054	2683.898973	
1583.031646	2683.74953	
1581.755145	2683.619957	
1581.776738	2683.892171	
1582.535878	2684.188358	
1582.873037	2685.367167	
1583.652938	2685.473398	
1583.350047	2684.661537	
1582.637699	2686.160154	
1583.308184	2686.95812	
1582.441808	2686.122374	
1585.687482	2691.456509	
1582.799642	2687.47271	
1583.282972	2687.238974	
1584.665982	2689.115292	
1579.912644	2682.174478	
1581.179425	2681.322166	
1580.675615	2680.732741	
1580.129596	2680.442947	
1581.164169	2680.34448	
1580.808823	2680.408103	
1580.481013	2680.277604	
1581.134589	2681.186208	
1581.937489	2682.618097	
1582.181422	2683.546607	
1582.699888	2684.695054	
1582.136351	2683.261117	
1580.554635	2680.927633	
1580.784663	2680.931478	
1581.740557	2681.804919	
1581.882792	2683.11116	
1582.05953	2684.261082	
1582.757483	2684.365702	
1582.348843	2684.437365	
1582.541741	2682.497266	
1582.004917	2683.26044	
1581.340431	2682.221545	
1581.78562	2681.866574	
1581.48826	2682.40308	
1581.345598	2682.326053	
1581.463967	2681.900807	
1581.71923	2682.689882	
1582.048901	2683.211885	
1581.931469	2684.354168	
1581.658763	2683.761923	
1581.815952	2680.983168	
1580.304578	2676.827299	
1580.235732	2674.713612	
1582.428071	2682.077109	
1582.937396	2684.28284	
1582.917725	2684.181687	
1581.91942	2684.474325	
1581.604289	2684.158267	
1582.186306	2684.567386	
1582.864764	2684.834551	
1583.749196	2685.420971	
1583.183949	2685.383812	
1584.044974	2686.783141	
1583.680041	2688.668601	
1583.980841	2690.218921	
1585.22941	2691.219955	
1581.565329	2686.50569	
1582.873769	2686.815945	
1583.844463	2686.267139	
1582.949272	2683.048157	
1585.218071	2687.775353	
1586.385553	2692.107535	
1588.541215	2689.962637	
1583.043184	2691.521369	
1582.838422	2683.755669	
1582.375249	2681.384542	
1581.391622	2681.920125	
1581.342727	2681.594616	
1580.802005	2681.058979	
1581.343949	2681.168358	
1580.552125	2681.516291	
1581.156976	2681.654982	
1581.138687	2682.142763	
1581.307622	2682.537055	
1582.347247	2683.404354	
1581.843849	2683.308324	
1581.420881	2682.293266	
1579.996924	2678.908772	
1579.91714	2679.190426	
1581.282165	2681.041409	
1582.188907	2683.651503	
1583.241887	2685.360848	
1582.998358	2685.251959	
1582.278854	2684.304845	
1581.89576	2681.033963	
1581.512842	2682.537933	
1581.157415	2681.930159	
1581.22237	2680.884432	
1581.339401	2681.195811	
1580.559496	2680.742803	
1580.464087	2679.798885	
1580.070749	2678.88544	
1580.192879	2679.23018	
1580.751572	2683.54079	
1577.654651	2679.40232	
1579.283643	2675.562117	
1579.19553	2671.721692	
1581.010017	2680.654486	
1582.760215	2680.764859	
1582.673932	2681.742987	
1583.641722	2685.103822	
1582.582271	2684.619612	
1582.109795	2684.568167	
1582.85828	2684.577021	
1582.24383	2685.016443	
1583.077867	2685.492168	
1583.624705	2686.287251	
1583.18841	2687.122191	
1584.536617	2687.815337	
1584.249697	2688.14213	
1584.888809	2690.524816	
1584.609006	2689.07659	
1581.392565	2684.732898	
1582.681341	2684.56715	
1584.49249	2685.799106	
1582.830102	2682.343372	
1584.297607	2686.91649	
1584.910579	2690.296213	
1585.745263	2689.503214	
1585.036829	2691.50714	
1586.043901	2690.117715	
1582.783275	2684.615	
1582.383118	2684.10134	
1582.328267	2682.667716	
1581.905711	2682.681079	
1581.728572	2682.490533	
1580.951877	2682.024297	
1581.397578	2681.772513	
1581.362772	2682.118105	
1581.349913	2681.914393	
1581.741523	2681.491576	
1581.074961	2682.168986	
1582.282946	2682.795367	
1582.036253	2682.558138	
1581.403132	2682.260556	
1580.825237	2681.124626	
1581.697674	2681.861704	
1579.92322	2679.948166	
1582.606892	2684.444884	
1584.245916	2688.719101	
1583.866702	2686.851304	
1582.416824	2684.237375	
1581.679269	2680.742465	
1581.388029	2681.632343	
1581.125186	2682.001265	
1580.877089	2680.563829	
1580.601051	2680.166092	
1580.197889	2679.714166	
1580.061676	2678.167519	
1579.31496	2676.239469	
1579.920086	2677.963481	
1580.593992	2682.5613	
1578.453511	2677.231721	
1578.924957	2672.590889	
1579.538614	2675.804233	
1581.252189	2681.454124	
1583.062733	2681.239922	
1582.7062	2682.352165	
1583.347793	2684.483786	
1582.741073	2684.657987	
1582.446546	2684.387331	
1582.813931	2684.626842	
1582.965418	2685.244669	
1583.91385	2686.044653	
1583.442927	2686.772873	
1583.07006	2687.501131	
1583.773713	2687.185071	
1583.712221	2687.609449	
1583.531612	2687.05787	
1584.161702	2687.077069	
1582.944645	2685.811179	
1583.489293	2685.67795	
1584.412313	2686.516325	
1583.251414	2684.995412	
1583.769938	2685.608168	
1583.635036	2687.181032	
1583.295027	2685.548411	
1583.635073	2687.136034	
1583.334264	2687.097023	
1584.805939	2689.764831	
1585.219795	2689.247143	
1584.880638	2689.343484	
1585.142297	2689.839577	
1584.203029	2688.241412	
1583.596761	2686.088264	
1583.516648	2685.110375	
1582.555195	2684.314271	
1581.74136	2685.315544	
1584.714346	2686.739368	
1582.946243	2686.64729	
1583.752218	2685.485736	
1582.859692	2684.986202	
1582.303369	2684.227312	
1582.26785	2683.527002	
1581.802527	2683.120404	
1581.527277	2681.914498	
1581.434476	2682.114362	
1582.007392	2682.436668	
1581.746071	2682.091967	
1581.393454	2681.07246	
1581.588001	2679.490732	
1581.283106	2681.9742	
1581.863965	2682.500163	
1581.988191	2682.109752	
1581.646464	2683.087555	
1582.519603	2683.513729	
1583.831729	2686.260677	
1580.694044	2681.037469	
1579.45816	2684.087387	
1583.664772	2689.795999	
1582.973388	2686.64387	
1581.517128	2684.057152	
1582.689469	2681.633011	
1581.460955	2681.957506	
1580.857734	2681.308185	
1580.68427	2680.129095	
1580.672114	2679.768427	
1580.464591	2679.493907	
1580.429191	2678.657014	
1581.780298	2682.752182	
1580.150994	2679.788322	
1583.139971	2683.030354	
1581.72115	2677.800082	
1582.624018	2683.807858	
1583.377824	2683.593038	
1583.275859	2683.853888	
1582.818798	2685.187672	
1583.007295	2684.871198	
1583.170446	2684.810984	
1582.100999	2684.56285	
1583.575468	2684.718823	
1583.329927	2685.201161	
1583.502405	2686.05288	
1583.577487	2686.67705	
1582.57586	2686.004134	
1584.394476	2686.652456	
1583.51664	2687.254521	
1583.131398	2686.948938	
1583.161506	2686.081339	
1583.588364	2686.405285	
1583.52738	2686.512425	
1583.177227	2686.830533	
1583.11237	2686.401746	
1583.435792	2685.834623	
1583.261119	2685.677819	
1582.907498	2683.988976	
1582.535093	2685.03447	
1583.357689	2685.142754	
1583.289242	2686.470203	
1583.315	2686.647954	
1583.808864	2687.894993	
1584.379245	2688.109451	
1583.785393	2688.354005	
1583.233558	2686.43013	
1583.827044	2685.788659	
1582.797806	2684.842395	
1583.220825	2685.489496	
1583.116272	2686.490338	
1583.240054	2685.760898	
1583.367401	2685.537092	
1582.636245	2684.698018	
1582.488964	2683.87723	
1582.695017	2684.058587	
1581.724026	2682.482299	
1581.580823	2679.832281	
1581.751695	2682.272556	
1581.915997	2682.437297	
1581.587781	2682.290197	
1581.49581	2679.545314	
1581.358963	2678.300694	
1581.51742	2682.214954	
1581.767879	2682.679446	
1581.431017	2682.46351	
1582.074436	2683.328496	
1582.512574	2684.391983	
1583.024691	2685.951151	
1582.181975	2684.262048	
1574.564557	2683.394273	
1579.363036	2680.906515	
1579.245803	2677.110488	
1579.312877	2677.580281	
1582.834848	2679.860172	
1580.858451	2680.420334	
1580.134718	2680.032413	
1581.326335	2680.539962	
1581.121353	2680.728844	
1580.682531	2680.847842	
1581.487574	2680.754192	
1583.634366	2684.913971	
1583.502516	2684.879834	
1583.514422	2682.934171	
1580.93934	2677.296363	
1582.949824	2684.068559	
1582.226179	2683.897746	
1583.70346	2684.893849	
1583.337381	2685.090538	
1582.677262	2685.773975	
1583.385036	2685.348773	
1583.124659	2685.154646	
1582.596685	2684.937433	
1583.449967	2684.811827	
1583.239339	2685.344122	
1583.445237	2685.117959	
1582.805221	2685.67034	
1583.204472	2686.492273	
1583.892239	2687.118776	
1583.707157	2686.667335	
1583.556527	2686.274199	
1583.14012	2686.008134	
1583.360483	2686.284328	
1583.11467	2686.401741	
1583.724409	2686.395578	
1583.3651	2686.326907	
1583.178957	2685.981652	
1583.075854	2685.395275	
1583.494955	2685.843919	
1583.259239	2687.42488	
1583.888075	2685.681582	
1582.926594	2684.040505	
1582.435748	2684.525766	
1583.171633	2686.498786	
1584.247505	2688.219449	
1584.766994	2689.124485	
1583.071776	2686.415981	
1583.862325	2686.080035	
1583.17963	2686.124392	
1583.375702	2685.688263	
1582.906305	2686.050005	
1582.88879	2683.397831	
1583.264723	2684.997435	
1582.13719	2684.450735	
1582.149688	2684.075359	
1582.133473	2684.45209	
1582.137182	2682.661719	
1581.406152	2681.371464	
1581.937261	2682.798206	
1582.39424	2682.843084	
1582.123857	2683.089482	
1581.861113	2680.886471	
1581.394739	2680.989244	
1581.977537	2682.834335	
1582.298671	2683.132667	
1582.495576	2683.263285	
1582.384971	2683.621543	
1582.765225	2684.458688	
1583.087624	2685.050021	
1582.930899	2685.121427	
1582.509021	2685.660546	
1584.136846	2688.882914	
1581.282632	2682.277487	
1579.293219	2674.2144	
1580.470815	2677.937735	
1578.814366	2675.93563	
1580.357567	2680.131096	
1581.744747	2682.215906	
1582.464218	2682.858106	
1581.685751	2682.773886	
1582.220736	2682.477553	
1582.438955	2682.984598	
1583.010661	2683.673402	
1582.591189	2679.660528	
1580.063507	2676.431786	
1576.096671	2684.629905	
1582.747804	2684.285928	
