time;dz;Bias;T-B;Topo
0;0;-66.5;39178820;-312106200
588.8;1562526;-66.5;40546790;-310543700
1177.6;3125017;-66.5;39740680;-308981200
1766.4;4687507;-66.5;39473280;-307418700
2355.2;6250033;-66.5;37375240;-305856200
2944;7812524;-66.5;36505360;-304293700
3532.8;9375015;-66.5;35906260;-302731200
4121.6;10937500;-66.5;32706730;-301168700
4710.4;12500030;-66.5;33718450;-299606200
5299.2;14062520;-66.5;31125990;-298043700
5888;15625010;-66.5;30052590;-296481200
6476.8;17187500;-66.5;29698380;-294918700
7065.6;18750030;-66.5;26262510;-293356200
7654.4;20312520;-66.5;27565960;-291793700
8243.2;21875010;-66.5;26021290;-290231200
8832;23437500;-66.5;24753040;-288668700
9420.8;25000030;-66.5;24268970;-287106200
10009.6;26562520;-66.5;21821140;-285543700
10598.4;28125010;-66.5;22280320;-283981200
11187.2;29687530;-66.5;20488610;-282418700
11776;31250030;-66.5;19848260;-280856200
12364.8;32812520;-66.5;18182860;-279293700
12953.6;34375010;-66.5;16422450;-277731200
13542.4;35937530;-66.5;16732680;-276168700
14131.2;37500020;-66.5;14272170;-274606200
14720;39062510;-66.5;14187980;-273043700
15308.8;40625000;-66.5;12127180;-271481200
15897.6;42187530;-66.5;10485520;-269918700
16486.4;43750020;-66.5;11243690;-268356200
17075.2;45312510;-66.5;8026760;-266793700
17664;46875000;-66.5;8226670;-265231200
18252.8;48437530;-66.5;7482760;-263668700
18841.6;50000020;-66.5;5266960;-262106200
19430.4;51562510;-66.5;5429990;-260543700
20019.2;53125000;-66.5;3760870;-258981200
20608;54687530;-66.5;2917810;-257418700
21196.8;56250020;-66.5;1988710;-255856200
21785.6;57812510;-66.5;1055530;-254293700
22374.4;59375030;-66.5;-515140;-252731200
22963.2;60937520;-66.5;-1586150;-251168700
23552;62500020;-66.5;-2228650;-249606200
24140.8;64062510;-66.5;-4733440;-248043700
24729.6;65625030;-66.5;-4422690;-246481200
25318.4;67187520;-66.5;-6228820;-244918700
25907.2;68750010;-66.5;-7598190;-243356200
26496;70312500;-66.5;-7326420;-241793700
27084.8;71875030;-66.5;-10031700;-240231200
27673.6;73437520;-66.5;-9899170;-238668700
28262.4;75000010;-66.5;-11144320;-237106200
28851.2;76562500;-66.5;-13121330;-235543700
29440;78125030;-66.5;-12997580;-233981200
30028.8;79687520;-66.5;-15126160;-232418700
30617.6;81250010;-66.5;-15592140;-230856200
31206.4;82812540;-66.5;-16646450;-229293700
31795.2;84375030;-66.5;-17854770;-227731200
32384;85937520;-66.5;-18701030;-226168700
32972.8;87500010;-66.5;-20130320;-224606200
33561.6;89062530;-66.5;-20173440;-223043700
34150.4;90625020;-66.5;-23010500;-221481200
34739.2;92187510;-66.5;-22499660;-219918700
35328;93750010;-66.5;-24071210;-218356200
35916.8;95312530;-66.5;-26363750;-216793700
36505.6;96875020;-66.5;-25170960;-215231200
37094.4;98437510;-66.5;-28203520;-213668700
37683.2;100000000;-66.5;-28329300;-212106200
38272;101562500;-66.5;-28904020;-210543700
38860.8;103125000;-66.5;-31754820;-208981200
39449.6;104687500;-66.5;-30755310;-207418700
40038.4;106250000;-66.5;-32821350;-205856200
40627.2;107812500;-66.5;-33473280;-204293700
41216;109375000;-66.5;-34019250;-202731200
41804.8;110937500;-66.5;-35622100;-201168700
42393.6;112500000;-66.5;-35841510;-199606200
42982.4;114062500;-66.5;-37165900;-198043700
43571.2;115625000;-66.5;-37747720;-196481200
44160;117187500;-66.5;-39472750;-194918700
44748.8;118750000;-66.5;-40058820;-193356200
45337.6;120312500;-66.5;-40991010;-191793700
45926.4;121875000;-66.5;-42882090;-190231200
46515.2;123437500;-66.5;-42773990;-188668700
47104;125000000;-66.5;-44825250;-187106200
47692.8;126562500;-66.5;-45874670;-185543700
48281.6;128125000;-66.5;-45854600;-183981200
48870.4;129687500;-66.5;-47856400;-182418700
49459.2;131250000;-66.5;-47974510;-180856200
50048;132812500;-66.5;-49551940;-179293700
50636.8;134375000;-66.5;-50760960;-177731200
51225.6;135937500;-66.5;-50983910;-176168700
51814.4;137500000;-66.5;-52516420;-174606200
52403.2;139062500;-66.5;-52937420;-173043700
52992;140625000;-66.5;-54138880;-171481200
53580.8;142187500;-66.5;-54957260;-169918700
54169.6;143750000;-66.5;-56031300;-168356200
54758.4;145312500;-66.5;-56938580;-166793700
55347.2;146875000;-66.5;-57894690;-165231200
55936;148437500;-66.5;-59308270;-163668700
56524.8;150000000;-66.5;-59452910;-162106200
57113.6;151562500;-66.5;-61185040;-160543700
57702.4;153125000;-66.5;-62445030;-158981200
58291.2;154687500;-66.5;-62304870;-157418700
58880;156250000;-66.5;-64158770;-155856200
59468.8;157812500;-66.5;-64762580;-154293700
60057.6;159375000;-66.5;-65398450;-152731200
60646.4;160937500;-66.5;-67023590;-151168700
61235.2;162500000;-66.5;-67467690;-149606200
61824;164062500;-66.5;-68574370;-148043700
62412.8;165625000;-66.5;-70061030;-146481200
63001.6;167187500;-66.5;-70295790;-144918700
63590.4;168750000;-66.5;-71726130;-143356200
64179.2;170312500;-66.5;-72768580;-141793700
64768;171875000;-66.5;-72958310;-140231200
65356.8;173437500;-66.5;-74627490;-138668700
65945.6;175000000;-66.5;-75481420;-137106200
66534.4;176562500;-66.5;-75879150;-135543700
67123.2;178125000;-66.5;-77650610;-133981200
67712;179687500;-66.5;-78338150;-132418700
68300.8;181250000;-66.5;-78944400;-130856200
68889.6;182812500;-66.5;-80533930;-129293700
69478.4;184375000;-66.5;-81207040;-127731100
70067.2;185937500;-66.5;-81715540;-126168600
70656;187500000;-66.5;-83403860;-124606200
71244.8;189062500;-66.5;-83908300;-123043600
71833.6;190625000;-66.5;-84708820;-121481100
72422.4;192187500;-66.5;-86282350;-119918600
73011.2;193750000;-66.5;-86449330;-118356200
73600;195312500;-66.5;-87985800;-116793600
74188.8;196875000;-66.5;-88984720;-115231100
74777.6;198437500;-66.5;-89352610;-113668700
75366.4;200000000;-66.5;-90758050;-112106200
75955.2;201562500;-66.5;-91186320;-110543600
76544;203125000;-66.5;-92539110;-108981100
77132.8;204687500;-66.5;-93797120;-107418700
77721.6;206250000;-66.5;-94000290;-105856100
78310.4;207812500;-66.5;-95205230;-104293600
78899.2;209375000;-66.5;-95894630;-102731100
79488;210937500;-66.5;-97143270;-101168700
80076.8;212500000;-66.5;-97942400;-99606170
80665.6;214062500;-66.5;-98836940;-98043680
81254.4;215625000;-66.5;-99811890;-96481190
81843.2;217187500;-66.5;-100345600;-94918700
82432;218750000;-66.5;-101923200;-93356180
83020.8;220312500;-66.5;-102383500;-91793680
83609.6;221875000;-66.5;-103432000;-90231190
84198.4;223437500;-66.5;-104816100;-88668700
84787.2;225000000;-66.5;-104911700;-87106180
85376;226562500;-66.5;-106591700;-85543690
85964.8;228125000;-66.5;-107292900;-83981200
86553.6;229687500;-66.5;-107959300;-82418710
87142.4;231250000;-66.5;-109580200;-80856180
87731.2;232812500;-66.5;-109872800;-79293690
88320;234375000;-66.5;-110969800;-77731200
88908.8;235937500;-66.5;-112265400;-76168670
89497.6;237500000;-66.5;-112790600;-74606180
90086.4;239062500;-66.5;-113972700;-73043690
90675.2;240625000;-66.5;-114622300;-71481200
91264;242187500;-66.5;-115682300;-69918670
91852.8;243750000;-66.5;-116645000;-68356180
92441.6;245312500;-66.5;-117526600;-66793690
93030.4;246875000;-66.5;-118498300;-65231200
93619.2;248437500;-66.5;-119297900;-63668680
94208;250000000;-66.5;-120708500;-62106190
94796.8;251562500;-66.5;-121070900;-60543690
95385.6;253125000;-66.5;-122308300;-58981200
95974.4;254687500;-66.5;-123399400;-57418680
96563.2;256250000;-66.5;-123655300;-55856190
97152;257812500;-66.5;-125524800;-54293700
97740.8;259375000;-66.5;-125789800;-52731170
98329.6;260937500;-66.5;-126665600;-51168680
98918.4;262500000;-66.5;-128239900;-49606190
99507.2;264062500;-66.5;-128409100;-48043700
100096;265625000;-66.5;-129698300;-46481170
100684.8;267187500;-66.5;-130622700;-44918680
101273.6;268750000;-66.5;-131222600;-43356190
101862.4;270312500;-66.5;-132470100;-41793700
102451.2;271875000;-66.5;-133045900;-40231170
103040;273437500;-66.5;-133896900;-38668680
103628.8;275000000;-66.5;-135158000;-37106190
104217.6;276562500;-66.5;-135677300;-35543700
104806.4;278125000;-66.5;-136642200;-33981180
105395.2;279687500;-66.5;-137734300;-32418690
105984;281250000;-66.5;-138510400;-30856200
106572.8;282812500;-66.5;-139521000;-29293670
107161.6;284375000;-66.5;-140770500;-27731180
107750.4;285937500;-66.5;-141491100;-26168690
108339.2;287500000;-66.5;-142556800;-24606200
108928;289062500;-66.5;-143804700;-23043670
109516.8;290625000;-66.5;-144161700;-21481180
110105.6;292187500;-66.5;-145353500;-19918690
110694.4;293750000;-66.5;-146369300;-18356200
111283.2;295312500;-66.5;-147041400;-16793670
111872;296875000;-66.5;-148293200;-15231180
112460.8;298437500;-66.5;-149023400;-13668690
113049.6;300000000;-66.5;-149849200;-12106200
113638.4;301562500;-66.5;-151059100;-10543670
114227.2;303125000;-66.5;-151813100;-8981185
114816;304687500;-66.5;-152771700;-7418694
115404.8;306250000;-66.5;-154023000;-5856168
115993.6;307812500;-66.5;-154791100;-4293677
116582.4;309375000;-66.5;-155703600;-2731187
117171.2;310937500;-66.5;-157041400;-1168696
117760;312500000;-66.5;-157518100;393830
118348.8;314062500;-66.5;-158586700;1956321
118937.6;315625000;-66.5;-159630700;3518811
119526.4;317187500;-66.5;-160305100;5081302
120115.2;318750000;-66.5;-161230300;6643828
120704;320312500;-66.5;-162370800;8206319
121292.8;321875000;-66.5;-163067400;9768809
121881.6;323437500;-66.5;-163974800;11331300
122470.4;325000000;-66.5;-165341700;12893820
123059.2;326562500;-66.5;-165793100;14456310
123648;328125000;-66.5;-167149500;16018810
124236.8;329687500;-66.5;-168140600;17581300
124825.6;331250000;-66.5;-168603300;19143820
125414.4;332812500;-66.5;-170250200;20706310
126003.2;334375000;-66.5;-170718900;22268810
126592;335937500;-66.5;-171754500;23831330
127180.8;337500000;-66.5;-173210700;25393820
127769.6;339062500;-66.5;-173400100;26956310
128358.4;340625000;-66.5;-174614700;28518800
128947.2;342187500;-66.5;-175515700;30081330
129536;343750000;-66.5;-176250100;31643820
130124.8;345312500;-66.5;-177399000;33206310
130713.6;346875000;-66.5;-178217900;34768800
131302.4;348437500;-66.5;-179112800;36331330
131891.2;350000000;-66.5;-180082700;37893820
132480;351562500;-66.5;-181353300;39456310
133068.8;353125000;-66.5;-181999800;41018800
133657.6;354687500;-66.5;-183031600;42581330
134246.4;356250000;-66.5;-184332300;44143820
134835.2;357812500;-66.5;-184762500;45706310
135424;359375000;-66.5;-186263400;47268830
136012.8;360937500;-66.5;-186924700;48831320
136601.6;362500000;-66.5;-187592500;50393810
137190.4;364062500;-66.5;-189378100;51956300
137779.2;365625000;-66.5;-189502500;53518830
138368;367187500;-66.5;-190746800;55081320
138956.8;368750000;-66.5;-191786000;56643810
139545.6;370312500;-66.5;-192311300;58206300
140134.4;371875000;-66.5;-193623600;59768830
140723.2;373437500;-66.5;-194313100;61331320
141312;375000000;-66.5;-195307300;62893810
141900.8;376562500;-66.5;-196240800;64456300
142489.6;378125000;-66.5;-197149600;66018830
143078.4;379687500;-66.5;-198072000;67581320
143667.2;381250000;-66.5;-198899400;69143810
144256;382812500;-66.5;-199962100;70706330
144844.8;384375000;-66.5;-200546700;72268820
145433.6;385937500;-66.5;-201844900;73831320
146022.4;387500000;-66.5;-202665600;75393810
146611.2;389062500;-66.5;-203465800;76956330
147200;390625000;-66.5;-204815500;78518820
147788.8;392187500;-66.5;-205426700;80081310
148377.6;393750000;-66.5;-206565600;81643800
148966.4;395312500;-66.5;-207519400;83206330
149555.2;396875000;-66.5;-208268300;84768820
150144;398437500;-66.5;-209321100;86331310
150732.8;400000000;-66.5;-210187600;87893800
151321.6;401562500;-66.5;-211059900;89456330
151910.4;403125000;-66.5;-212000600;91018820
152499.2;404687500;-66.5;-213032300;92581310
153088;406250000;-66.5;-213823400;94143800
153676.8;407812500;-66.5;-214868600;95706330
154265.6;409375000;-66.5;-215817600;97268820
154854.4;410937500;-66.5;-216455300;98831310
155443.2;412500000;-66.5;-217705900;100393800
156032;414062500;-66.5;-218487400;101956300
156620.8;415625000;-66.5;-219294700;103518800
157209.6;417187500;-66.5;-220707200;105081300
157798.4;418750000;-66.5;-221232500;106643800
158387.2;420312500;-66.5;-222169600;108206300
158976;421875000;-66.5;-223231600;109768800
159564.8;423437500;-66.5;-224008900;111331300
160153.6;425000000;-66.5;-225028300;112893800
160742.4;426562500;-66.5;-225904900;114456300
161331.2;428125000;-66.5;-226619200;116018800
161920;429687500;-66.5;-227521900;117581300
162508.8;431250000;-66.5;-228498200;119143800
163097.6;432812500;-66.5;-229200900;120706300
163686.4;434375000;-66.5;-230239200;122268800
164275.2;435937500;-66.5;-231067800;123831300
164864;437500000;-66.5;-231928300;125393800
165452.8;439062500;-66.5;-232970900;126956300
166041.6;440625000;-66.5;-233747800;128518800
166630.4;442187500;-66.5;-234619400;130081300
167219.2;443750000;-66.5;-235557500;131643800
167808;445312500;-66.5;-236406900;133206300
168396.8;446875000;-66.5;-237327400;134768800
168985.6;448437500;-66.5;-238114100;136331300
169574.4;450000000;-66.5;-238937500;137893800
170163.2;451562500;-66.5;-239862900;139456300
170752;453125000;-66.5;-240692900;141018800
171340.8;454687500;-66.5;-241408300;142581300
171929.6;456250000;-66.5;-242309700;144143800
172518.4;457812500;-66.5;-243181500;145706300
173107.2;459375000;-66.5;-243996900;147268800
173696;460937500;-66.5;-244870200;148831300
174284.8;462500000;-66.5;-245710000;150393800
174873.6;464062500;-66.5;-246590000;151956300
175462.4;465625000;-66.5;-247401100;153518800
176051.2;467187500;-66.5;-244522800;155081300
176640;468750000;-66.5;-181296300;156643800
177228.8;470312500;-66.5;-181285900;158206300
177817.6;471875000;-66.5;-181115000;159768800
178406.4;473437500;-66.5;-180898300;161331300
178995.2;475000000;-66.5;-180820100;162893800
179584;476562500;-66.5;-180844300;164456300
180172.8;478125000;-66.5;-180896200;166018800
180761.6;479687500;-66.5;-180850800;167581300
181350.4;481250000;-66.5;-180823100;169143800
181939.2;482812500;-66.5;-180805400;170706300
182528;484375000;-66.5;-180749900;172268800
183116.8;485937500;-66.5;-180761100;173831300
183705.6;487500000;-66.5;-180744100;175393800
184294.4;489062500;-66.5;-180776500;176956300
184883.2;490625000;-66.5;-180866300;178518800
185472;492187500;-66.5;-180926600;180081300
186060.8;493750000;-66.5;-180878600;181643800
186649.6;495312500;-66.5;-180869300;183206300
187238.4;496875000;-66.5;-180811400;184768800
187827.2;498437500;-66.5;-180927100;186331300
188416;500000000;-66.5;-181011400;187893800
189004.8;501562500;-66.5;-180944700;189456300
189593.6;503125000;-66.5;-180937900;191018800
190182.4;504687500;-66.5;-181029400;192581300
190771.2;506250000;-66.5;-181042100;194143800
191360;507812500;-66.5;-181003500;195706300
191948.8;509375000;-66.5;-181014700;197268800
192537.6;510937500;-66.5;-180968700;198831300
193126.4;512500000;-66.5;-180928500;200393800
193715.2;514062500;-66.5;-181035600;201956300
194304;515625000;-66.5;-181010400;203518800
194892.8;517187500;-66.5;-180989800;205081300
195481.6;518750000;-66.5;-180983100;206643800
196070.4;520312500;-66.5;-181023200;208206300
196659.2;521875000;-66.5;-180965500;209768800
197248;523437500;-66.5;-181119700;211331300
197836.8;525000000;-66.5;-181062700;212893800
198425.6;526562500;-66.5;-180993700;214456300
199014.4;528125000;-66.5;-181021800;216018800
199603.2;529687500;-66.5;-181045700;217581300
200192;531250000;-66.5;-181050100;219143800
200780.8;532812500;-66.5;-180999500;220706300
201369.6;534375000;-66.5;-181012400;222268800
201958.4;535937500;-66.5;-181091000;223831300
202547.2;537500000;-66.5;-181007500;225393800
203136;539062500;-66.5;-181003700;226956300
203724.8;540625000;-66.5;-180984400;228518800
204313.6;542187500;-66.5;-180962400;230081300
204902.4;543750000;-66.5;-180952600;231643800
205491.2;545312500;-66.5;-180912500;233206300
206080;546875000;-66.5;-181026900;234768800
206668.8;548437500;-66.5;-180969400;236331300
207257.6;550000000;-66.5;-180920700;237893800
207846.4;551562500;-66.5;-180981700;239456300
208435.2;553125000;-66.5;-180984100;241018800
209024;554687500;-66.5;-180928600;242581300
209612.8;556250000;-66.5;-180922900;244143800
210201.6;557812500;-66.5;-180971900;245706300
210790.4;559375100;-66.5;-180972600;247268800
211379.2;560937500;-66.5;-181019500;248831300
211968;562500000;-66.5;-180969100;250393800
212556.8;564062500;-66.5;-180876700;251956300
213145.6;565625000;-66.5;-180929100;253518800
213734.4;567187500;-66.5;-180892200;255081300
214323.2;568750000;-66.5;-180906300;256643800
214912;570312500;-66.5;-180874200;258206300
215500.8;571875000;-66.5;-180821400;259768800
216089.6;573437500;-66.5;-180824800;261331300
216678.4;575000000;-66.5;-180758300;262893800
217267.2;576562500;-66.5;-180824000;264456300
217856;578125000;-66.5;-180794900;266018800
218444.8;579687500;-66.5;-180665000;267581300
219033.6;581250000;-66.5;-180591600;269143800
219622.4;582812500;-66.5;-180542600;270706300
220211.2;584375000;-66.5;-180567600;272268800
220800;585937500;-66.5;-180551000;273831300
221388.8;587500000;-66.5;-180515700;275393800
221977.6;589062600;-66.5;-180500900;276956300
222566.4;590625000;-66.5;-180479800;278518800
223155.2;592187500;-66.5;-180469800;280081300
223744;593750000;-66.5;-180444600;281643800
224332.8;595312500;-66.5;-180386700;283206300
224921.6;596875000;-66.5;-180347400;284768800
225510.4;598437500;-66.5;-180386800;286331300
226099.2;600000000;-66.5;-180380200;287893800
226688;601562500;-66.5;-180359800;289456300
227276.8;603125000;-66.5;-180282200;291018800
227865.6;604687500;-66.5;-180298000;292581300
228454.4;606250000;-66.5;-180341400;294143800
229043.2;607812500;-66.5;-180249000;295706300
229632;609375000;-66.5;-180223500;297268800
230220.8;610937500;-66.5;-180246700;298831300
230809.6;612500100;-66.5;-180160200;300393800
231398.4;614062500;-66.5;-180078100;301956300
231987.2;615625000;-66.5;-180134400;303518800
232576;617187500;-66.5;-180078200;305081300
233164.8;618750000;-66.5;-180061600;306643800
233753.6;620312500;-66.5;-180011300;308206300
234342.4;621875000;-66.5;-179980900;309768800
234931.2;623437500;-66.5;-180060800;311331300
235520;625000000;-66.5;-180095400;312893800
236108.8;626562500;-66.5;-180128300;314456300
236697.6;628125000;-66.5;-180081200;316018800
237286.4;629687500;-66.5;-180039100;317581300
237875.2;631250000;-66.5;-180032000;319143800
238464;632812500;-66.5;-180000300;320706300
239052.8;634375000;-66.5;-180003700;322268800
239641.6;635937600;-66.5;-179966900;323831300
240230.4;637500000;-66.5;-179961400;325393800
240819.2;639062500;-66.5;-179916600;326956300
241408;640625000;-66.5;-179920700;328518800
241996.8;642187600;-66.5;-179929100;330081300
242585.6;643750000;-66.5;-179938300;331643800
243174.4;645312500;-66.5;-179892000;333206300
243763.2;646875000;-66.5;-179857200;334768800
244352;648437500;-66.5;-179829700;336331300
244940.8;650000000;-66.5;-179846900;337893800
245529.6;651562500;-66.5;-179849500;339456300
246118.4;653125000;-66.5;-179858100;341018800
246707.2;654687500;-66.5;-179791700;342581300
247296;656250000;-66.5;-179698600;344143800
247884.8;657812500;-66.5;-179827500;345706300
248473.6;659375100;-66.5;-179842200;347268800
249062.4;660937500;-66.5;-179822000;348831300
249651.2;662500000;-66.5;-179786300;350393800
250240;664062500;-66.5;-179823100;351956300
250828.8;665625100;-66.5;-179749500;353518800
251417.6;667187500;-66.5;-179686200;355081300
252006.4;668750000;-66.5;-179702100;356643800
252595.2;670312500;-66.5;-179757400;358206300
253184;671875100;-66.5;-179725300;359768800
253772.8;673437500;-66.5;-179785100;361331300
254361.6;675000000;-66.5;-179762400;362893800
254950.4;676562500;-66.5;-179767500;364456300
255539.2;678125000;-66.5;-179734200;366018800
256128;679687500;-66.5;-179762100;367581300
256716.8;681250000;-66.5;-179753600;369143800
257305.6;682812500;-66.5;-179852400;370706300
257894.4;684375000;-66.5;-179825200;372268800
258483.2;685937500;-66.5;-179782600;373831300
259072;687500000;-66.5;-179900100;375393800
259660.8;689062600;-66.5;-179862800;376956300
260249.6;690625000;-66.5;-179909000;378518800
260838.4;692187500;-66.5;-179894700;380081300
261427.2;693750000;-66.5;-179841700;381643800
262016;695312600;-66.5;-179887300;383206300
262604.8;696875000;-66.5;-179913500;384768800
263193.6;698437500;-66.5;-179889900;386331300
263782.4;700000000;-66.5;-179902700;387893800
264371.2;701562500;-66.5;-179960700;389456300
264960;703125000;-66.5;-179928900;391018800
265548.8;704687500;-66.5;-179969300;392581300
266137.6;706250000;-66.5;-179930200;394143800
266726.4;707812500;-66.5;-179967600;395706300
267315.2;709375000;-66.5;-179934100;397268800
267904;710937500;-66.5;-179980800;398831300
268492.8;712500100;-66.5;-180043300;400393800
269081.6;714062500;-66.5;-179967200;401956300
269670.4;715625000;-66.5;-179998000;403518800
270259.2;717187500;-66.5;-179975600;405081300
270848;718750100;-66.5;-180027300;406643800
271436.8;720312500;-66.5;-180103700;408206300
272025.6;721875000;-66.5;-180064700;409768800
272614.4;723437500;-66.5;-180079500;411331300
273203.2;725000100;-66.5;-180141700;412893800
273792;726562500;-66.5;-180186900;414456300
274380.8;728125000;-66.5;-180175000;416018800
274969.6;729687500;-66.5;-180153900;417581300
275558.4;731250000;-66.5;-180223100;419143800
276147.2;732812500;-66.5;-180293700;420706300
276736;734375000;-66.5;-180259400;422268800
277324.8;735937600;-66.5;-180296300;423831300
277913.6;737500000;-66.5;-180287600;425393800
278502.4;739062500;-66.5;-180353500;426956300
279091.2;740625000;-66.5;-180378200;428518800
279680;742187600;-66.5;-180417900;430081300
280268.8;743750000;-66.5;-180453000;431643800
280857.6;745312500;-66.5;-180447800;433206300
281446.4;746875000;-66.5;-180430400;434768800
282035.2;748437600;-66.5;-180449000;436331300
282624;750000000;-66.5;-180470200;437893800
283212.8;751562500;-66.5;-180528500;439456300
283801.6;753125000;-66.5;-180437600;441018800
284390.4;754687600;-66.5;-180529100;442581300
284979.2;756250000;-66.5;-180574900;444143800
285568;757812500;-66.5;-180637300;445706300
286156.8;759375000;-66.5;-180633600;447268800
286745.6;760937500;-66.5;-180663100;448831300
287334.4;762500000;-66.5;-180581900;450393800
287923.2;764062500;-66.5;-180710700;451956300
288512;765625100;-66.5;-180792100;453518800
289100.8;767187500;-66.5;-180762500;455081300
289689.6;768750000;-66.5;-180783800;456643800
290278.4;770312500;-66.5;-180789100;458206300
290867.2;771875100;-66.5;-180769300;459768800
291456;773437500;-66.5;-180786300;461331300
292044.8;775000000;-66.5;-180779200;462893800
292633.6;776562500;-66.5;-180729500;464456300
293222.4;778125100;-66.5;-180723900;466018800
293811.2;779687500;-66.5;-180757600;467581300
294400;781250000;-66.5;-180816000;469143800
294988.8;782812500;-66.5;-180821100;470706300
295577.6;784375000;-66.5;-180853900;472268800
296166.4;785937500;-66.5;-180883800;473831300
296755.2;787500000;-66.5;-180832300;475393800
297344;789062600;-66.5;-180911100;476956300
297932.8;790625000;-66.5;-180837500;478518800
298521.6;792187500;-66.5;-180824000;480081300
299110.4;793750000;-66.5;-180921100;481643800
299699.2;795312600;-66.5;-180899000;483206300
300288;796875000;-66.5;-180881400;484768800
300876.8;798437500;-66.5;-180861100;486331300
301465.6;800000000;-66.5;-180849200;487893800
302054.4;798434500;-66.5;-180837700;486328300
